# Strike probe: 20 closed markets fixed BEFORE any Gamma request (2026-09-10).
# Source: server live_markets, closed by time (end < now-1d), spread across history.
# Format: market_id|asset|end_time_est_utc
2737264|BTC|2026-07-01 00:00:00+00
3299344|BTC|2026-08-04 04:45:00+00
3740689|BTC|2026-08-21 09:45:00+00
4358006|BTC|2026-09-09 05:45:00+00
2737259|DOGE|2026-07-01 00:00:00+00
3299340|DOGE|2026-08-04 04:45:00+00
3740697|DOGE|2026-08-21 09:45:00+00
4358008|DOGE|2026-09-09 05:45:00+00
2737260|ETH|2026-07-01 00:00:00+00
3299403|ETH|2026-08-04 05:00:00+00
3741542|ETH|2026-08-21 10:00:00+00
4358001|ETH|2026-09-09 05:45:00+00
2737265|SOL|2026-07-01 00:00:00+00
3299346|SOL|2026-08-04 04:45:00+00
3740684|SOL|2026-08-21 09:45:00+00
4358013|SOL|2026-09-09 05:45:00+00
2737258|XRP|2026-07-01 00:00:00+00
3299336|XRP|2026-08-04 04:45:00+00
3740695|XRP|2026-08-21 09:45:00+00
4358014|XRP|2026-09-09 05:45:00+00
