opportunity_id,market_id,asset,side,calendar_date,calendar_week,decision_at,delay_sec,ask,bid,mid,spread,ask_bin,final_outcome,target,in_funnel,quality_status,quality_reasons,primary_cohort,single_touch_favorite,rebound_category,matrix_2x2_cell,ct_state,initial_mid,peak_mid,subsequent_trough_mid,drawdown,rebound,recovery_fraction,drop_from_peak,drop_duration_sec,range_position,time_above_50_sec,fraction_time_above_50,n_observations,budget_usdc,shares,gross_pnl,fee_02pct,net_pnl_02pct,fee_01pct,net_pnl_01pct,selection_status,skip_reason
2670422_2026-06-25T17:25:00+00:00,2670422,BTC,UP,2026-06-25,2026-W26,2026-06-25T17:25:00+00:00,0.0,0.0,,0.5,,MISSING,YES,1,False,INSUFFICIENT_HISTORY,DELAY_113.8S_EXCEEDS_15.0S,INSUFFICIENT_HISTORY,False,UNCERTAIN,,INSUFFICIENT_HISTORY,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DELAY_TOO_LARGE,DELAY_113.8S_EXCEEDS_15.0S
2670429_2026-06-25T17:25:00+00:00,2670429,ETH,UP,2026-06-25,2026-W26,2026-06-25T17:25:00+00:00,0.0,0.0,,0.5,,MISSING,YES,1,False,INSUFFICIENT_HISTORY,DELAY_113.8S_EXCEEDS_15.0S,INSUFFICIENT_HISTORY,False,UNCERTAIN,,INSUFFICIENT_HISTORY,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DELAY_TOO_LARGE,DELAY_113.8S_EXCEEDS_15.0S
2670465_2026-06-25T17:40:00+00:00,2670465,BTC,UP,2026-06-25,2026-W26,2026-06-25T17:40:00+00:00,0.0,0.0,,0.5,,MISSING,NO,0,False,INSUFFICIENT_HISTORY,NULL_MID_OR_ASK_AT_DECISION,INSUFFICIENT_HISTORY,False,UNCERTAIN,,INSUFFICIENT_HISTORY,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING_QUOTE,NULL_MID_OR_ASK_AT_DECISION
2670467_2026-06-25T17:40:00+00:00,2670467,ETH,UP,2026-06-25,2026-W26,2026-06-25T17:40:00+00:00,0.0,0.0,,0.5,,MISSING,NO,0,False,INSUFFICIENT_HISTORY,NULL_MID_OR_ASK_AT_DECISION,INSUFFICIENT_HISTORY,False,UNCERTAIN,,INSUFFICIENT_HISTORY,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING_QUOTE,NULL_MID_OR_ASK_AT_DECISION
2670692_2026-06-25T17:55:00+00:00,2670692,BTC,UP,2026-06-25,2026-W26,2026-06-25T17:55:00+00:00,0.0,0.0,,0.5,,MISSING,YES,1,False,INSUFFICIENT_HISTORY,NULL_MID_OR_ASK_AT_DECISION,INSUFFICIENT_HISTORY,False,UNCERTAIN,,INSUFFICIENT_HISTORY,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING_QUOTE,NULL_MID_OR_ASK_AT_DECISION
2670702_2026-06-25T17:55:00+00:00,2670702,ETH,UP,2026-06-25,2026-W26,2026-06-25T17:55:00+00:00,0.0,0.0,,0.5,,MISSING,YES,1,False,INSUFFICIENT_HISTORY,NULL_MID_OR_ASK_AT_DECISION,INSUFFICIENT_HISTORY,False,UNCERTAIN,,INSUFFICIENT_HISTORY,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING_QUOTE,NULL_MID_OR_ASK_AT_DECISION
2671085_2026-06-25T18:10:00+00:00,2671085,BTC,UP,2026-06-25,2026-W26,2026-06-25T18:10:00+00:00,0.0,0.0,,0.5,,MISSING,NO,0,False,INSUFFICIENT_HISTORY,NULL_MID_OR_ASK_AT_DECISION,INSUFFICIENT_HISTORY,False,UNCERTAIN,,INSUFFICIENT_HISTORY,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING_QUOTE,NULL_MID_OR_ASK_AT_DECISION
2671095_2026-06-25T18:10:00+00:00,2671095,ETH,UP,2026-06-25,2026-W26,2026-06-25T18:10:00+00:00,0.0,0.0,,0.5,,MISSING,NO,0,False,INSUFFICIENT_HISTORY,NULL_MID_OR_ASK_AT_DECISION,INSUFFICIENT_HISTORY,False,UNCERTAIN,,INSUFFICIENT_HISTORY,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING_QUOTE,NULL_MID_OR_ASK_AT_DECISION
2671470_2026-06-25T18:25:00+00:00,2671470,BTC,UP,2026-06-25,2026-W26,2026-06-25T18:25:00+00:00,0.0,0.0,,0.5,,MISSING,YES,1,False,INSUFFICIENT_HISTORY,NULL_MID_OR_ASK_AT_DECISION,INSUFFICIENT_HISTORY,False,UNCERTAIN,,INSUFFICIENT_HISTORY,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING_QUOTE,NULL_MID_OR_ASK_AT_DECISION
2671475_2026-06-25T18:25:00+00:00,2671475,ETH,UP,2026-06-25,2026-W26,2026-06-25T18:25:00+00:00,0.0,0.0,,0.5,,MISSING,YES,1,False,INSUFFICIENT_HISTORY,NULL_MID_OR_ASK_AT_DECISION,INSUFFICIENT_HISTORY,False,UNCERTAIN,,INSUFFICIENT_HISTORY,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING_QUOTE,NULL_MID_OR_ASK_AT_DECISION
2671493_2026-06-25T18:40:00+00:00,2671493,BTC,UP,2026-06-25,2026-W26,2026-06-25T18:40:00+00:00,0.0,0.0,,0.5,,MISSING,NO,0,False,INSUFFICIENT_HISTORY,NULL_MID_OR_ASK_AT_DECISION,INSUFFICIENT_HISTORY,False,UNCERTAIN,,INSUFFICIENT_HISTORY,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING_QUOTE,NULL_MID_OR_ASK_AT_DECISION
2671500_2026-06-25T18:40:00+00:00,2671500,ETH,UP,2026-06-25,2026-W26,2026-06-25T18:40:00+00:00,0.0,0.0,,0.5,,MISSING,NO,0,False,INSUFFICIENT_HISTORY,NULL_MID_OR_ASK_AT_DECISION,INSUFFICIENT_HISTORY,False,UNCERTAIN,,INSUFFICIENT_HISTORY,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING_QUOTE,NULL_MID_OR_ASK_AT_DECISION
2671652_2026-06-25T18:55:00+00:00,2671652,BTC,UP,2026-06-25,2026-W26,2026-06-25T18:55:00+00:00,0.0,0.0,,0.5,,MISSING,YES,1,False,INSUFFICIENT_HISTORY,NULL_MID_OR_ASK_AT_DECISION,INSUFFICIENT_HISTORY,False,UNCERTAIN,,INSUFFICIENT_HISTORY,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING_QUOTE,NULL_MID_OR_ASK_AT_DECISION
2671657_2026-06-25T18:55:00+00:00,2671657,ETH,UP,2026-06-25,2026-W26,2026-06-25T18:55:00+00:00,0.0,0.0,,0.5,,MISSING,YES,1,False,INSUFFICIENT_HISTORY,NULL_MID_OR_ASK_AT_DECISION,INSUFFICIENT_HISTORY,False,UNCERTAIN,,INSUFFICIENT_HISTORY,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING_QUOTE,NULL_MID_OR_ASK_AT_DECISION
