asset,hour_group_utc,weekday,entry_policy,variant,n,days,win_rate,net_pnl,expectancy
BTC,00-06,0,FUNNEL,NO_FAVORITE,2,2,0.5,-0.0769,-0.038461
BTC,00-06,0,FUNNEL,NO_OUTSIDER,42,3,0.5238,6.7173,0.159935
BTC,00-06,0,FUNNEL,YES_FAVORITE,1,1,1.0,0.3889,0.388889
BTC,00-06,0,FUNNEL,YES_OUTSIDER,27,3,0.4444,0.2256,0.008354
BTC,00-06,0,GRID,YES_FAVORITE,56,3,0.7143,-4.8798,-0.087139
BTC,00-06,0,GRID,YES_OUTSIDER,53,3,0.283,-6.855,-0.12934
BTC,00-06,1,FUNNEL,NO_FAVORITE,14,4,0.7857,3.9327,0.280908
BTC,00-06,1,FUNNEL,NO_OUTSIDER,46,5,0.3913,-6.4143,-0.139442
BTC,00-06,1,FUNNEL,YES_FAVORITE,4,3,0.75,-0.3811,-0.095266
BTC,00-06,1,FUNNEL,YES_OUTSIDER,35,4,0.4,-5.2809,-0.150883
BTC,00-06,1,GRID,YES_FAVORITE,75,5,0.7467,-2.9402,-0.039202
BTC,00-06,1,GRID,YES_OUTSIDER,84,5,0.2857,23.0353,0.274229
BTC,00-06,2,FUNNEL,NO_FAVORITE,18,4,0.5,-1.8818,-0.104542
BTC,00-06,2,FUNNEL,NO_OUTSIDER,45,5,0.5556,8.6317,0.191816
BTC,00-06,2,FUNNEL,YES_FAVORITE,8,3,0.5,-0.6683,-0.083534
BTC,00-06,2,FUNNEL,YES_OUTSIDER,39,4,0.5128,5.936,0.152206
BTC,00-06,2,GRID,YES_FAVORITE,84,5,0.6786,-3.8383,-0.045694
BTC,00-06,2,GRID,YES_OUTSIDER,75,5,0.3467,12.8664,0.171552
BTC,00-06,3,FUNNEL,NO_FAVORITE,9,3,0.5556,-1.877,-0.208554
BTC,00-06,3,FUNNEL,NO_OUTSIDER,39,4,0.4872,0.5787,0.014838
BTC,00-06,3,FUNNEL,YES_FAVORITE,4,1,1.0,1.427,0.35674
BTC,00-06,3,FUNNEL,YES_OUTSIDER,28,3,0.5357,6.3857,0.228062
BTC,00-06,3,GRID,YES_FAVORITE,82,4,0.7195,-5.1193,-0.06243
BTC,00-06,3,GRID,YES_OUTSIDER,91,4,0.2637,-17.3746,-0.19093
BTC,00-06,4,FUNNEL,NO_FAVORITE,3,2,1.0,0.9618,0.320587
BTC,00-06,4,FUNNEL,NO_OUTSIDER,46,4,0.4783,1.3343,0.029005
BTC,00-06,4,FUNNEL,YES_FAVORITE,4,2,0.75,0.2405,0.06012
BTC,00-06,4,FUNNEL,YES_OUTSIDER,43,4,0.4419,-0.6306,-0.014665
BTC,00-06,4,GRID,YES_FAVORITE,131,4,0.6947,-11.7893,-0.089995
