asset,entry_policy,price_bin,n_c0,net_c0,n_ct,net_ct,prevented_losses,missed_wins,net_diff
BTC,FUNNEL,"[0.15,0.20)",1,-1.0,0,0,1.0,0,1.0
BTC,FUNNEL,"[0.20,0.25)",1,3.3478,0,0,0,3.3478,-3.3478
BTC,FUNNEL,"[0.25,0.30)",6,-2.5517,1,-1.0,4.0,2.4483,1.5517
BTC,FUNNEL,"[0.30,0.35)",27,7.2162,3,0.0303,14.0,21.1859,-7.1859
BTC,FUNNEL,"[0.35,0.40)",73,15.7027,7,3.4588,37.0,49.2438,-12.2438
BTC,FUNNEL,"[0.40,0.50)",697,-9.7625,58,14.2482,357.0,332.9893,24.0107
BTC,FUNNEL,"[0.50,0.60)",161,1.0,19,9.0,75.0,67.0,8.0
BTC,GRID,,20,-20.0,0,0,20.0,0,20.0
BTC,GRID,"[0.01,0.05)",144,-94.0,5,20.0,138.0,24.0,114.0
BTC,GRID,"[0.05,0.10)",222,-71.881,11,5.6667,202.0,124.4524,77.5476
BTC,GRID,"[0.10,0.15)",199,-20.0789,22,-7.7143,158.0,145.6354,12.3646
BTC,GRID,"[0.15,0.20)",226,1.6101,22,28.4364,174.0,147.1736,26.8264
BTC,GRID,"[0.20,0.25)",236,-7.0545,42,2.234,153.0,143.7116,9.2884
BTC,GRID,"[0.25,0.30)",246,-47.7238,54,-17.6873,148.0,117.9635,30.0365
BTC,GRID,"[0.30,0.35)",254,-4.4052,72,5.8047,126.0,115.7901,10.2099
BTC,GRID,"[0.35,0.40)",283,-4.8074,97,5.4142,121.0,110.7784,10.2216
BTC,GRID,"[0.40,0.50)",503,-7.8395,255,-9.3619,137.0,138.5224,-1.5224
BTC,GRID,"[0.50,0.60)",90,-13.1078,25,3.0,40.0,23.8922,16.1078
BTC,GRID,"[0.90,0.99]",6,-3.8947,2,-2.0,2.0,0.1053,1.8947
DOGE,FUNNEL,"[0.01,0.05)",1,-1.0,1,-1.0,0,0,0.0
DOGE,FUNNEL,"[0.10,0.15)",1,-1.0,0,0,1.0,0,1.0
DOGE,FUNNEL,"[0.20,0.25)",6,-1.8333,0,0,5.0,3.1667,1.8333
DOGE,FUNNEL,"[0.25,0.30)",11,6.62,0,0,6.0,12.62,-6.62
DOGE,FUNNEL,"[0.30,0.35)",39,13.2548,7,4.943,19.0,27.3119,-8.3119
DOGE,FUNNEL,"[0.35,0.40)",83,6.1677,10,3.2522,44.0,46.9156,-2.9156
DOGE,FUNNEL,"[0.40,0.50)",615,-27.1252,83,-7.5486,296.0,276.4234,19.5766
DOGE,FUNNEL,"[0.50,0.60)",108,-14.0,17,-3.0,51.0,40.0,11.0
DOGE,GRID,"[0.01,0.05)",143,32.0,11,39.0,128.0,121.0,7.0
DOGE,GRID,"[0.05,0.10)",230,-136.4286,16,16.5,210.0,57.0714,152.9286
DOGE,GRID,"[0.10,0.15)",214,-12.2451,21,-2.6667,171.0,161.4216,9.5784
DOGE,GRID,"[0.15,0.20)",206,-50.14,35,0.8677,150.0,98.9923,51.0077
DOGE,GRID,"[0.20,0.25)",235,-11.4356,45,9.9158,153.0,131.6486,21.3514
DOGE,GRID,"[0.25,0.30)",240,-45.2763,53,-34.4304,139.0,128.1541,10.8459
DOGE,GRID,"[0.30,0.35)",202,-39.7693,60,-4.4235,108.0,72.6543,35.3457
DOGE,GRID,"[0.35,0.40)",221,13.8971,90,4.3921,79.0,88.505,-9.505
DOGE,GRID,"[0.40,0.50)",459,-15.8185,222,-2.0111,138.0,124.1926,13.8074
DOGE,GRID,"[0.50,0.60)",179,-13.4114,64,-13.362,55.0,54.9506,0.0494
DOGE,GRID,"[0.60,0.70)",3,-3.0,3,-3.0,0,0,0.0
DOGE,GRID,"[0.90,0.99]",21,-8.786,0,0,9.0,0.214,8.786
ETH,FUNNEL,"[0.15,0.20)",2,-2.0,0,0,2.0,0,2.0
ETH,FUNNEL,"[0.20,0.25)",5,-5.0,1,-1.0,4.0,0,4.0
