lid,market_id,recorded_at,ct_state
1,3293216,2026-08-03T19:37:15.818144+00:00,REVERSION
2,3293216,2026-08-03T19:40:15.794065+00:00,REVERSION
5,3293217,2026-08-03T19:37:16.499187+00:00,UNCERTAIN
6,3293217,2026-08-03T19:40:16.327442+00:00,UNCERTAIN
9,3293219,2026-08-03T19:37:17.243675+00:00,REVERSION
10,3293219,2026-08-03T19:40:16.890937+00:00,UNCERTAIN
13,3293220,2026-08-03T19:37:17.792990+00:00,REVERSION
14,3293220,2026-08-03T19:40:17.430136+00:00,REVERSION
15,3293220,2026-08-03T19:32:07.947098+00:00,UNCERTAIN
17,3293250,2026-08-03T19:52:16.376411+00:00,TREND
18,3293250,2026-08-03T19:55:16.541295+00:00,TREND
21,3293252,2026-08-03T19:52:15.812335+00:00,UNCERTAIN
22,3293252,2026-08-03T19:55:15.847451+00:00,UNCERTAIN
25,3293254,2026-08-03T19:52:16.935373+00:00,REVERSION
26,3293254,2026-08-03T19:55:17.092632+00:00,UNCERTAIN
29,3293256,2026-08-03T19:52:17.486635+00:00,REVERSION
30,3293256,2026-08-03T19:55:17.643866+00:00,REVERSION
33,3293259,2026-08-03T19:52:18.037931+00:00,REVERSION
34,3293259,2026-08-03T19:55:18.201379+00:00,REVERSION
39,3293494,2026-08-03T20:03:04.092536+00:00,TREND
57,3293673,2026-08-03T20:22:16.374037+00:00,TREND
58,3293673,2026-08-03T20:25:18.250103+00:00,UNCERTAIN
61,3293674,2026-08-03T20:22:15.805484+00:00,TREND
62,3293674,2026-08-03T20:25:17.699531+00:00,TREND
65,3293675,2026-08-03T20:22:16.943659+00:00,TREND
66,3293675,2026-08-03T20:25:18.840311+00:00,UNCERTAIN
67,3293675,2026-08-03T20:17:49.181499+00:00,TREND
69,3293680,2026-08-03T20:22:17.497670+00:00,UNCERTAIN
70,3293680,2026-08-03T20:25:19.518260+00:00,REVERSION
73,3293684,2026-08-03T20:22:18.043077+00:00,TREND
74,3293684,2026-08-03T20:25:20.230023+00:00,UNCERTAIN
75,3293684,2026-08-03T20:15:08.078248+00:00,TREND
79,3294911,2026-08-03T20:30:01.229302+00:00,TREND
95,3294921,2026-08-03T20:33:07.881578+00:00,REVERSION
97,3295031,2026-08-03T20:52:16.078614+00:00,REVERSION
98,3295031,2026-08-03T20:55:16.863026+00:00,UNCERTAIN
101,3295033,2026-08-03T20:52:16.658245+00:00,REVERSION
102,3295033,2026-08-03T20:55:18.138501+00:00,UNCERTAIN
105,3295036,2026-08-03T20:52:17.786498+00:00,TREND
106,3295036,2026-08-03T20:55:19.687419+00:00,TREND
107,3295036,2026-08-03T20:47:50.812996+00:00,TREND
109,3295037,2026-08-03T20:52:17.240679+00:00,TREND
110,3295037,2026-08-03T20:55:19.125846+00:00,TREND
111,3295037,2026-08-03T20:45:06.649480+00:00,REVERSION
113,3295040,2026-08-03T20:52:18.353122+00:00,TREND
114,3295040,2026-08-03T20:55:20.427374+00:00,TREND
118,3295174,2026-08-03T21:10:17.398457+00:00,TREND
122,3295175,2026-08-03T21:10:16.414292+00:00,UNCERTAIN
126,3295177,2026-08-03T21:10:17.947034+00:00,TREND
127,3295177,2026-08-03T21:00:01.953785+00:00,QUIET
130,3295183,2026-08-03T21:10:18.504289+00:00,TREND
134,3295184,2026-08-03T21:10:19.057953+00:00,UNCERTAIN
137,3295579,2026-08-03T21:22:15.800741+00:00,REVERSION
138,3295579,2026-08-03T21:25:15.953308+00:00,UNCERTAIN
139,3295579,2026-08-03T21:15:04.709505+00:00,QUIET
141,3295581,2026-08-03T21:22:16.363937+00:00,UNCERTAIN
142,3295581,2026-08-03T21:25:16.659972+00:00,REVERSION
145,3295583,2026-08-03T21:22:16.941293+00:00,REVERSION
146,3295583,2026-08-03T21:25:17.418174+00:00,REVERSION
149,3295584,2026-08-03T21:22:17.493124+00:00,UNCERTAIN
150,3295584,2026-08-03T21:25:17.965174+00:00,UNCERTAIN
153,3295590,2026-08-03T21:22:18.048920+00:00,REVERSION
154,3295590,2026-08-03T21:25:18.700370+00:00,REVERSION
179,3295847,2026-08-03T21:47:56.726059+00:00,TREND
197,3295901,2026-08-03T22:07:15.807196+00:00,TREND
198,3295901,2026-08-03T22:10:15.823536+00:00,TREND
201,3295906,2026-08-03T22:07:16.356739+00:00,TREND
202,3295906,2026-08-03T22:10:16.379116+00:00,TREND
206,3295908,2026-08-03T22:10:16.953575+00:00,TREND
207,3295908,2026-08-03T22:00:03.450198+00:00,TREND
209,3295912,2026-08-03T22:07:17.182713+00:00,TREND
210,3295912,2026-08-03T22:10:17.497093+00:00,TREND
213,3295914,2026-08-03T22:07:17.724749+00:00,TREND
214,3295914,2026-08-03T22:10:18.064327+00:00,UNCERTAIN
219,3295996,2026-08-03T22:15:01.519139+00:00,TREND
238,3296183,2026-08-03T22:40:15.816000+00:00,TREND
242,3296185,2026-08-03T22:40:16.377167+00:00,TREND
246,3296190,2026-08-03T22:40:16.971993+00:00,UNCERTAIN
250,3296191,2026-08-03T22:40:17.541414+00:00,TREND
254,3296194,2026-08-03T22:40:18.081985+00:00,TREND
257,3296315,2026-08-03T22:52:15.800355+00:00,TREND
258,3296315,2026-08-03T22:55:16.391910+00:00,TREND
261,3296316,2026-08-03T22:52:16.302998+00:00,TREND
262,3296316,2026-08-03T22:55:16.949972+00:00,TREND
265,3296317,2026-08-03T22:52:16.818621+00:00,TREND
266,3296317,2026-08-03T22:55:17.523401+00:00,TREND
269,3296323,2026-08-03T22:52:17.425916+00:00,TREND
270,3296323,2026-08-03T22:55:18.152605+00:00,TREND
273,3296324,2026-08-03T22:52:17.932122+00:00,TREND
274,3296324,2026-08-03T22:55:18.726417+00:00,TREND
275,3296324,2026-08-03T22:47:47.465755+00:00,UNCERTAIN
277,3296353,2026-08-03T23:07:15.988272+00:00,UNCERTAIN
278,3296353,2026-08-03T23:10:17.148237+00:00,REVERSION
281,3296359,2026-08-03T23:07:16.751593+00:00,TREND
282,3296359,2026-08-03T23:10:17.653790+00:00,UNCERTAIN
283,3296359,2026-08-03T23:00:02.346570+00:00,QUIET
285,3296360,2026-08-03T23:07:17.529121+00:00,UNCERTAIN
286,3296360,2026-08-03T23:10:18.192599+00:00,UNCERTAIN
289,3296362,2026-08-03T23:07:18.726713+00:00,UNCERTAIN
290,3296362,2026-08-03T23:10:18.699774+00:00,UNCERTAIN
293,3296364,2026-08-03T23:07:19.293236+00:00,UNCERTAIN
294,3296364,2026-08-03T23:10:19.207725+00:00,UNCERTAIN
303,3296404,2026-08-03T23:17:47.584831+00:00,UNCERTAIN
318,3296433,2026-08-03T23:40:15.816610+00:00,TREND
322,3296437,2026-08-03T23:40:16.284904+00:00,TREND
323,3296437,2026-08-03T23:30:01.958554+00:00,QUIET
326,3296438,2026-08-03T23:40:16.794662+00:00,TREND
334,3296445,2026-08-03T23:40:17.539537+00:00,TREND
337,3296503,2026-08-03T23:52:15.810084+00:00,REVERSION
