market_id,asset,decision_at,entry_policy,time_left_target,time_left_actual,entry_variant,side,mid_price,best_bid,best_ask,spread,price_bin,region,final_outcome,target,stake_usdc,shares,gross_pnl,fee_status,fee,net_pnl,scenario_fee,scenario_net_pnl,selection_status,skip_reason,recorded_at,calendar_date,hour_utc,weekday
3293216,SOL,2026-08-03T19:33:00+00:00,GRID,12,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293216,SOL,2026-08-03T19:37:15.818144+00:00,GRID,8,7.736,YES_OUTSIDER,YES,0.395,0.39,0.4,0.010000000000000009,"[0.40,0.50)",cheap_outsider,NO,0,1.0,2.5,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:37:15.818144+00:00,2026-08-03,19,0
3293216,SOL,2026-08-03T19:40:15.794065+00:00,GRID,5,4.737,YES_OUTSIDER,YES,0.185,0.16,0.21,0.04999999999999999,"[0.20,0.25)",deep_outsider,NO,0,1.0,4.761905,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:40:15.794065+00:00,2026-08-03,19,0
3293216,SOL,2026-08-03T19:33:02.866730+00:00,FUNNEL,,11.952,NO_OUTSIDER,NO,,,0.31,0.030000000000000027,"[0.30,0.35)",cheap_outsider,,1,1.0,3.225806,2.225806,UNKNOWN,0.0,2.225806,0.02,2.205806,OK,,2026-08-03T19:33:02.866730+00:00,2026-08-03,19,0
3293217,DOGE,2026-08-03T19:33:00+00:00,GRID,12,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293217,DOGE,2026-08-03T19:37:16.499187+00:00,GRID,8,7.725,YES_OUTSIDER,YES,0.365,0.32,0.41,0.08999999999999997,"[0.40,0.50)",near_parity,NO,0,1.0,2.439024,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:37:16.499187+00:00,2026-08-03,19,0
3293217,DOGE,2026-08-03T19:40:16.327442+00:00,GRID,5,4.728,YES_OUTSIDER,YES,0.11499999999999999,0.11,0.12,0.009999999999999995,"[0.10,0.15)",deep_outsider,NO,0,1.0,8.333333,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:40:16.327442+00:00,2026-08-03,19,0
3293217,DOGE,2026-08-03T19:32:11.710862+00:00,FUNNEL,,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_REAL_QUOTE_IN_FUNNEL_ROW,,,,
3293219,BTC,2026-08-03T19:33:00+00:00,GRID,12,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293219,BTC,2026-08-03T19:37:17.243675+00:00,GRID,8,7.713,YES_OUTSIDER,YES,0.425,0.42,0.43,0.010000000000000009,"[0.40,0.50)",near_parity,NO,0,1.0,2.325581,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:37:17.243675+00:00,2026-08-03,19,0
3293219,BTC,2026-08-03T19:40:16.890937+00:00,GRID,5,4.718,YES_OUTSIDER,YES,0.035,0.03,0.04,0.010000000000000002,"[0.01,0.05)",deep_outsider,NO,0,1.0,25.0,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:40:16.890937+00:00,2026-08-03,19,0
3293219,BTC,2026-08-03T19:32:12.336176+00:00,FUNNEL,,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_REAL_QUOTE_IN_FUNNEL_ROW,,,,
3293220,ETH,2026-08-03T19:33:00+00:00,GRID,12,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293220,ETH,2026-08-03T19:37:17.792990+00:00,GRID,8,7.703,YES_OUTSIDER,YES,0.355,0.35,0.36,0.010000000000000009,"[0.35,0.40)",cheap_outsider,NO,0,1.0,2.777778,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:37:17.792990+00:00,2026-08-03,19,0
3293220,ETH,2026-08-03T19:40:17.430136+00:00,GRID,5,4.709,YES_OUTSIDER,YES,0.08499999999999999,0.08,0.09,0.009999999999999995,"[0.05,0.10)",deep_outsider,NO,0,1.0,11.111111,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:40:17.430136+00:00,2026-08-03,19,0
3293220,ETH,2026-08-03T19:32:07.947098+00:00,FUNNEL,,12.868,YES_FAVORITE,YES,0.59,,0.59,0.010000000000000009,"[0.50,0.60)",near_parity,,0,1.0,1.694915,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:32:07.947098+00:00,2026-08-03,19,0
3293250,DOGE,2026-08-03T19:48:00+00:00,GRID,12,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293250,DOGE,2026-08-03T19:52:16.376411+00:00,GRID,8,7.727,YES_OUTSIDER,YES,0.15500000000000003,0.14,0.17,0.03,"[0.15,0.20)",deep_outsider,NO,0,1.0,5.882353,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:52:16.376411+00:00,2026-08-03,19,0
