n,days,win_rate,gross_pnl,net_pnl,scenario_net_pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top5_share,asset,entry_policy,entry_time,variant,price_bin,status,exp_ci95
1,1,1.0,0.003,0.003,-0.017,0.003009,0.003,0.0,,0.0,0.003,1.0,BTC,FUNNEL,FUNNEL,NO_FAVORITE,,INSUFFICIENT_SAMPLE,
96,22,0.4896,-8.1646,-8.1646,-10.0846,-0.085048,0.8688,-1.0,0.8688,13.3616,-1.0,-0.5884,BTC,FUNNEL,FUNNEL,NO_FAVORITE,"[0.50,0.60)",OK,"[-0.322168, 0.070908]"
23,10,0.7391,3.3577,3.3577,2.8977,0.145987,0.5505,-1.0,0.5505,3.875,0.5152,0.9284,BTC,FUNNEL,FUNNEL,NO_FAVORITE,"[0.60,0.70)",OK,"[-0.015508, 0.512163]"
38,17,0.7368,-0.4468,-0.4468,-1.2068,-0.011759,0.3412,-1.0,0.3412,3.6726,0.3158,-4.6179,BTC,FUNNEL,FUNNEL,NO_FAVORITE,"[0.70,0.80)",OK,"[-0.205285, 0.156284]"
43,19,0.814,-1.159,-1.159,-2.019,-0.026954,0.1955,-1.0,0.1955,5.1398,0.1765,-1.0785,BTC,FUNNEL,FUNNEL,NO_FAVORITE,"[0.80,0.90)",OK,"[-0.194738, 0.117626]"
15,10,0.8667,-1.0042,-1.0042,-1.3042,-0.066945,0.0766,-1.0,0.0766,1.1274,0.0753,-0.5289,BTC,FUNNEL,FUNNEL,NO_FAVORITE,"[0.90,0.99]",OK,"[-0.178456, 0.084529]"
2,2,0.0,-2.0,-2.0,-2.04,-1.0,0.0,-1.0,0.0,2.0,-1.0,1.0,BTC,FUNNEL,FUNNEL,NO_OUTSIDER,"[0.10,0.15)",INSUFFICIENT_SAMPLE,
2,1,0.0,-2.0,-2.0,-2.04,-1.0,0.0,-1.0,0.0,2.0,-1.0,1.0,BTC,FUNNEL,FUNNEL,NO_OUTSIDER,"[0.15,0.20)",INSUFFICIENT_SAMPLE,
2,2,0.0,-2.0,-2.0,-2.04,-1.0,0.0,-1.0,0.0,2.0,-1.0,1.0,BTC,FUNNEL,FUNNEL,NO_OUTSIDER,"[0.20,0.25)",INSUFFICIENT_SAMPLE,
4,4,0.5,3.5499,3.5499,3.4699,0.887464,2.7749,-1.0,2.7749,2.0,0.8519,1.0,BTC,FUNNEL,FUNNEL,NO_OUTSIDER,"[0.25,0.30)",INSUFFICIENT_SAMPLE,
