max_price,entry_time,n,days,win_rate,gross_pnl,net_pnl,scenario_net_pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top5_share,ci95,status,days_n,top1,top3_share,ex_top5_pnl
0.3,12,1733,28,0.202,-135.8682,-135.8682,-170.5282,-0.078401,3.5632,-1.0,3.5632,222.9136,-1.0,-0.3745,"[-0.205082, 0.047314]",OK,28,13.2857,-0.2487,-186.7448
0.3,8,2194,27,0.1226,-582.6737,-582.6737,-626.5537,-0.265576,4.9901,-1.0,4.9901,603.4796,-1.0,-0.3061,"[-0.414189, -0.103972]",OK,27,49.0,-0.2237,-761.007
0.3,5,2714,27,0.0881,-756.4092,-756.4092,-810.6891,-0.278706,7.1908,-1.0,7.1908,756.4092,-1.0,-0.3239,"[-0.409607, -0.142145]",OK,27,49.0,-0.1943,-1001.4092
0.35,12,2371,28,0.2256,-215.4592,-215.4592,-262.8792,-0.090873,3.029,-1.0,3.029,296.5599,-1.0,-0.2361,"[-0.195415, 0.017827]",OK,28,13.2857,-0.1568,-266.3359
0.35,8,2515,27,0.1515,-564.2466,-564.2466,-614.5466,-0.224353,4.1201,-1.0,4.1201,589.9221,-1.0,-0.3161,"[-0.363743, -0.080762]",OK,27,49.0,-0.231,-742.5799
0.35,5,2922,27,0.1057,-752.997,-752.997,-811.437,-0.257699,6.0194,-1.0,6.0194,752.997,-1.0,-0.3254,"[-0.378643, -0.133109]",OK,27,49.0,-0.1952,-997.997
0.4,12,3057,28,0.2574,-238.0388,-238.0388,-299.1788,-0.077867,2.5819,-1.0,2.5819,311.0668,-1.0,-0.2137,"[-0.164052, 0.012113]",OK,28,13.2857,-0.1419,-288.9154
0.4,8,2852,27,0.1781,-569.2871,-569.2871,-626.3271,-0.19961,3.4935,-1.0,3.4935,600.2029,-1.0,-0.3133,"[-0.317119, -0.0772]",OK,27,49.0,-0.2289,-747.6204
0.4,5,3112,27,0.1276,-711.4522,-711.4522,-773.6922,-0.228616,5.0467,-1.0,5.0467,711.4522,-1.0,-0.3444,"[-0.342941, -0.112746]",OK,27,49.0,-0.2066,-956.4522
0.5,12,4431,28,0.3072,-355.9467,-355.9467,-444.5667,-0.080331,1.9942,-1.0,1.9942,413.2531,-1.0,-0.1429,"[-0.150486, -0.007318]",OK,28,13.2857,-0.0949,-406.8233
0.5,8,3479,27,0.2268,-578.8623,-578.8623,-648.4423,-0.166388,2.6757,-1.0,2.6757,612.2824,-1.0,-0.3081,"[-0.267209, -0.054635]",OK,27,49.0,-0.2252,-757.1956
0.5,5,3517,27,0.1652,-711.6064,-711.6064,-781.9464,-0.202333,3.8286,-1.0,3.8286,712.8791,-1.0,-0.3443,"[-0.307932, -0.096281]",OK,27,49.0,-0.2066,-956.6064
