n,days,win_rate,gross_pnl,net_pnl,scenario_net_pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top5_share,entry_policy,variant,price_bin,status,exp_ci95
7,4,1.0,0.013,0.013,-0.127,0.001862,0.0019,0.0,,0.0,0.001,0.8464,FUNNEL,NO_FAVORITE,,INSUFFICIENT_SAMPLE,
1054,30,0.4877,-83.73,-83.73,-104.81,-0.07944,0.8877,-1.0,0.8877,99.6791,-1.0,-0.0574,FUNNEL,NO_FAVORITE,"[0.50,0.60)",OK,"[-0.134323, -0.022372]"
211,26,0.6161,-7.8818,-7.8818,-12.1018,-0.037354,0.5624,-1.0,0.5624,16.0795,0.4706,-0.4229,FUNNEL,NO_FAVORITE,"[0.60,0.70)",OK,"[-0.135009, 0.088333]"
165,29,0.7515,1.658,1.658,-1.642,0.010048,0.344,-1.0,0.344,12.0062,0.3158,1.2924,FUNNEL,NO_FAVORITE,"[0.70,0.80)",OK,"[-0.102426, 0.121583]"
191,29,0.7958,-11.5421,-11.5421,-15.3621,-0.06043,0.1806,-1.0,0.1806,15.1061,0.1628,-0.1083,FUNNEL,NO_FAVORITE,"[0.80,0.90)",OK,"[-0.154426, 0.030375]"
160,28,0.7812,-26.7894,-26.7894,-29.9894,-0.167434,0.0657,-1.0,0.0657,26.8647,0.0526,-0.0207,FUNNEL,NO_FAVORITE,"[0.90,0.99]",OK,"[-0.268539, -0.076452]"
1,1,0.0,-1.0,-1.0,-1.02,-1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,FUNNEL,NO_OUTSIDER,"[0.01,0.05)",INSUFFICIENT_SAMPLE,
2,2,0.5,9.1111,9.1111,9.0711,4.555555,10.1111,-1.0,10.1111,1.0,4.5556,1.0,FUNNEL,NO_OUTSIDER,"[0.05,0.10)",INSUFFICIENT_SAMPLE,
6,4,0.0,-6.0,-6.0,-6.12,-1.0,0.0,-1.0,0.0,6.0,-1.0,0.8333,FUNNEL,NO_OUTSIDER,"[0.10,0.15)",INSUFFICIENT_SAMPLE,
8,4,0.375,8.7011,8.7011,8.5411,1.087633,4.567,-1.0,4.567,4.0,-1.0,1.3448,FUNNEL,NO_OUTSIDER,"[0.15,0.20)",INSUFFICIENT_SAMPLE,
17,10,0.0588,-12.4545,-12.4545,-12.7945,-0.73262,3.5455,-1.0,3.5455,13.0,-1.0,0.0365,FUNNEL,NO_OUTSIDER,"[0.20,0.25)",OK,"[-1.0, -0.350649]"
31,17,0.2903,2.016,2.016,1.396,0.065031,2.6684,-1.0,2.6684,8.0,-1.0,6.994,FUNNEL,NO_OUTSIDER,"[0.25,0.30)",OK,"[-0.405506, 0.606617]"
155,28,0.329,0.3007,0.3007,-2.7993,0.00194,2.0451,-1.0,2.0451,22.205,-1.0,38.0809,FUNNEL,NO_OUTSIDER,"[0.30,0.35)",OK,"[-0.301767, 0.308976]"
448,30,0.3638,-10.7827,-10.7827,-19.7427,-0.024069,1.6823,-1.0,1.6823,46.5566,-1.0,-0.8612,FUNNEL,NO_OUTSIDER,"[0.35,0.40)",OK,"[-0.131568, 0.084141]"
3422,30,0.4366,-168.5408,-168.5408,-236.9808,-0.049252,1.1777,-1.0,1.1777,203.4299,-1.0,-0.0445,FUNNEL,NO_OUTSIDER,"[0.40,0.50)",OK,"[-0.102649, 0.001219]"
990,30,0.5182,36.0,36.0,16.2,0.036364,1.0,-1.0,1.0,23.0,1.0,0.1389,FUNNEL,NO_OUTSIDER,"[0.50,0.60)",OK,"[-0.036481, 0.107784]"
3,2,1.0,0.003,0.003,-0.057,0.001001,0.001,0.0,,0.0,0.001,1.0,FUNNEL,YES_FAVORITE,,INSUFFICIENT_SAMPLE,
515,30,0.4932,-34.527,-34.527,-44.827,-0.067043,0.8916,-1.0,0.8916,45.7761,-1.0,-0.1391,FUNNEL,YES_FAVORITE,"[0.50,0.60)",OK,"[-0.167515, 0.034263]"
144,28,0.6667,6.3345,6.3345,3.4545,0.043989,0.566,-1.0,0.566,6.8339,0.5038,0.5262,FUNNEL,YES_FAVORITE,"[0.60,0.70)",OK,"[-0.090379, 0.152528]"
98,26,0.8061,8.0323,8.0323,6.0723,0.081963,0.3422,-1.0,0.3422,4.2048,0.3158,0.2668,FUNNEL,YES_FAVORITE,"[0.70,0.80)",OK,"[-0.022136, 0.187443]"
122,26,0.8852,5.4782,5.4782,3.0382,0.044904,0.1804,-1.0,0.1804,5.7906,0.1765,0.2282,FUNNEL,YES_FAVORITE,"[0.80,0.90)",OK,"[-0.035352, 0.122038]"
92,26,0.8804,-6.679,-6.679,-8.519,-0.072597,0.0533,-1.0,0.0533,7.4321,0.0417,-0.0832,FUNNEL,YES_FAVORITE,"[0.90,0.99]",OK,"[-0.145315, -0.015226]"
4,3,0.0,-4.0,-4.0,-4.08,-1.0,0.0,-1.0,0.0,4.0,-1.0,1.0,FUNNEL,YES_OUTSIDER,"[0.01,0.05)",INSUFFICIENT_SAMPLE,
2,2,0.0,-2.0,-2.0,-2.04,-1.0,0.0,-1.0,0.0,2.0,-1.0,1.0,FUNNEL,YES_OUTSIDER,"[0.05,0.10)",INSUFFICIENT_SAMPLE,
2,1,0.0,-2.0,-2.0,-2.04,-1.0,0.0,-1.0,0.0,2.0,-1.0,1.0,FUNNEL,YES_OUTSIDER,"[0.10,0.15)",INSUFFICIENT_SAMPLE,
4,4,0.0,-4.0,-4.0,-4.08,-1.0,0.0,-1.0,0.0,4.0,-1.0,1.0,FUNNEL,YES_OUTSIDER,"[0.15,0.20)",INSUFFICIENT_SAMPLE,
21,14,0.1429,-8.1377,-8.1377,-8.5577,-0.387509,3.2874,-1.0,3.2874,12.0,-1.0,-0.9662,FUNNEL,YES_OUTSIDER,"[0.20,0.25)",OK,"[-1.0, 0.278772]"
40,19,0.3,2.5559,2.5559,1.7559,0.063898,2.5463,-1.0,2.5463,8.0,-1.0,5.2498,FUNNEL,YES_OUTSIDER,"[0.25,0.30)",OK,"[-0.515777, 0.707546]"
157,28,0.3631,19.7941,19.7941,16.6541,0.126077,2.1017,-1.0,2.1017,15.8447,-1.0,0.5894,FUNNEL,YES_OUTSIDER,"[0.30,0.35)",OK,"[-0.191147, 0.454007]"
404,29,0.3886,15.2062,15.2062,7.1262,0.037639,1.6701,-1.0,1.6701,23.927,-1.0,0.6107,FUNNEL,YES_OUTSIDER,"[0.35,0.40)",OK,"[-0.117297, 0.189821]"
3141,30,0.4473,-78.7548,-78.7548,-141.5748,-0.025073,1.1795,-1.0,1.1795,124.9714,-1.0,-0.0952,FUNNEL,YES_OUTSIDER,"[0.40,0.50)",OK,"[-0.077335, 0.028843]"
671,29,0.4844,-21.0,-21.0,-34.42,-0.031297,1.0,-1.0,1.0,32.0,-1.0,-0.2381,FUNNEL,YES_OUTSIDER,"[0.50,0.60)",OK,"[-0.12766, 0.070652]"
172,23,1.0,0.3924,0.3924,-3.0476,0.002282,0.0023,0.0,,0.0,0.002,0.1131,GRID,YES_FAVORITE,,OK,"[0.001972, 0.002602]"
2082,30,0.562,51.881,51.881,10.241,0.024919,0.8238,-1.0,0.8238,39.6362,0.7241,0.0926,GRID,YES_FAVORITE,"[0.50,0.60)",OK,"[-0.011926, 0.060344]"
2237,30,0.6464,-2.6146,-2.6146,-47.3546,-0.001169,0.5452,-1.0,0.5452,41.3299,0.4925,-1.2749,GRID,YES_FAVORITE,"[0.60,0.70)",OK,"[-0.042821, 0.037827]"
2276,30,0.7452,3.0631,3.0631,-42.4569,0.001346,0.3438,-1.0,0.3438,39.4505,0.3158,0.6996,GRID,YES_FAVORITE,"[0.70,0.80)",OK,"[-0.025922, 0.028444]"
2201,30,0.8428,-4.0358,-4.0358,-48.0558,-0.001834,0.1843,-1.0,0.1843,26.7939,0.1765,-0.3097,GRID,YES_FAVORITE,"[0.80,0.90)",OK,"[-0.022632, 0.017897]"
2609,30,0.954,1.9997,1.9997,-50.1803,0.000766,0.049,-1.0,0.049,15.9186,0.0417,0.2778,GRID,YES_FAVORITE,"[0.90,0.99]",OK,"[-0.012685, 0.013639]"
