entry_policy,asset,entry_rule,price_bin,n_c0,gross_c0,n_ct,gross_ct,prevented_losses,missed_wins,net_diff
FUNNEL,BTC,FUNNEL_OBSERVED,"[0.15,0.20)",1,-1.0,0,0,1.0,0,1.0
FUNNEL,BTC,FUNNEL_OBSERVED,"[0.20,0.25)",1,3.3478,0,0,0,3.3478,-3.3478
FUNNEL,BTC,FUNNEL_OBSERVED,"[0.25,0.30)",6,-2.5517,1,-1.0,4.0,2.4483,1.5517
FUNNEL,BTC,FUNNEL_OBSERVED,"[0.30,0.35)",27,7.2162,3,0.0303,14.0,21.1859,-7.1859
FUNNEL,BTC,FUNNEL_OBSERVED,"[0.35,0.40)",73,15.7027,7,3.4588,37.0,49.2438,-12.2438
FUNNEL,BTC,FUNNEL_OBSERVED,"[0.40,0.50)",697,-9.7625,58,14.2482,357.0,332.9893,24.0107
FUNNEL,BTC,FUNNEL_OBSERVED,"[0.50,0.60)",161,1.0,19,9.0,75.0,67.0,8.0
FUNNEL,DOGE,FUNNEL_OBSERVED,"[0.01,0.05)",1,-1.0,1,-1.0,0,0,0.0
FUNNEL,DOGE,FUNNEL_OBSERVED,"[0.10,0.15)",1,-1.0,0,0,1.0,0,1.0
FUNNEL,DOGE,FUNNEL_OBSERVED,"[0.20,0.25)",6,-1.8333,0,0,5.0,3.1667,1.8333
FUNNEL,DOGE,FUNNEL_OBSERVED,"[0.25,0.30)",11,6.62,0,0,6.0,12.62,-6.62
FUNNEL,DOGE,FUNNEL_OBSERVED,"[0.30,0.35)",39,13.2548,7,4.943,19.0,27.3119,-8.3119
FUNNEL,DOGE,FUNNEL_OBSERVED,"[0.35,0.40)",83,6.1677,10,3.2522,44.0,46.9156,-2.9156
FUNNEL,DOGE,FUNNEL_OBSERVED,"[0.40,0.50)",615,-27.1252,83,-7.5486,296.0,276.4234,19.5766
FUNNEL,DOGE,FUNNEL_OBSERVED,"[0.50,0.60)",108,-14.0,17,-3.0,51.0,40.0,11.0
FUNNEL,ETH,FUNNEL_OBSERVED,"[0.15,0.20)",2,-2.0,0,0,2.0,0,2.0
FUNNEL,ETH,FUNNEL_OBSERVED,"[0.20,0.25)",5,-5.0,1,-1.0,4.0,0,4.0
FUNNEL,ETH,FUNNEL_OBSERVED,"[0.25,0.30)",5,-1.0,0,0,4.0,3.0,1.0
FUNNEL,ETH,FUNNEL_OBSERVED,"[0.30,0.35)",27,-5.5696,2,-2.0,18.0,14.4304,3.5696
FUNNEL,ETH,FUNNEL_OBSERVED,"[0.35,0.40)",78,-5.3475,7,-1.3651,46.0,42.0176,3.9824
FUNNEL,ETH,FUNNEL_OBSERVED,"[0.40,0.50)",707,23.5756,51,3.9475,346.0,365.6281,-19.6281
FUNNEL,ETH,FUNNEL_OBSERVED,"[0.50,0.60)",144,0.0,18,2.0,64.0,62.0,2.0
FUNNEL,SOL,FUNNEL_OBSERVED,"[0.01,0.05)",3,-3.0,0,0,3.0,0,3.0
FUNNEL,SOL,FUNNEL_OBSERVED,"[0.05,0.10)",1,-1.0,0,0,1.0,0,1.0
FUNNEL,SOL,FUNNEL_OBSERVED,"[0.10,0.15)",1,-1.0,0,0,1.0,0,1.0
FUNNEL,SOL,FUNNEL_OBSERVED,"[0.20,0.25)",6,-6.0,1,-1.0,5.0,0,5.0
FUNNEL,SOL,FUNNEL_OBSERVED,"[0.25,0.30)",5,1.8966,2,1.4483,2.0,2.4483,-0.4483
FUNNEL,SOL,FUNNEL_OBSERVED,"[0.30,0.35)",45,-7.2176,7,-3.9697,27.0,23.7521,3.2479
FUNNEL,SOL,FUNNEL_OBSERVED,"[0.35,0.40)",110,13.5526,14,1.943,56.0,67.6096,-11.6096
FUNNEL,SOL,FUNNEL_OBSERVED,"[0.40,0.50)",595,-17.7773,81,-11.7794,281.0,275.0021,5.9979
FUNNEL,SOL,FUNNEL_OBSERVED,"[0.50,0.60)",155,-3.0,36,-8.0,57.0,62.0,-5.0
FUNNEL,XRP,FUNNEL_OBSERVED,"[0.05,0.10)",1,-1.0,0,0,1.0,0,1.0
FUNNEL,XRP,FUNNEL_OBSERVED,"[0.15,0.20)",1,-1.0,0,0,1.0,0,1.0
FUNNEL,XRP,FUNNEL_OBSERVED,"[0.20,0.25)",3,1.3478,0,0,2.0,3.3478,-1.3478
FUNNEL,XRP,FUNNEL_OBSERVED,"[0.25,0.30)",13,-2.4089,1,-1.0,9.0,7.5911,1.4089
FUNNEL,XRP,FUNNEL_OBSERVED,"[0.30,0.35)",19,12.1102,2,1.2258,8.0,18.8844,-10.8844
FUNNEL,XRP,FUNNEL_OBSERVED,"[0.35,0.40)",60,-14.8692,12,-1.5375,35.0,21.6683,13.3317
FUNNEL,XRP,FUNNEL_OBSERVED,"[0.40,0.50)",527,-47.6654,94,-20.0439,248.0,220.3785,27.6215
FUNNEL,XRP,FUNNEL_OBSERVED,"[0.50,0.60)",103,-5.0,28,-2.0,39.0,36.0,3.0
GRID,BTC,T-12,"[0.05,0.10)",7,-7.0,0,0,7.0,0,7.0
GRID,BTC,T-12,"[0.10,0.15)",31,-2.8182,0,0,28.0,25.1818,2.8182
GRID,BTC,T-12,"[0.15,0.20)",62,7.9789,0,0,50.0,57.9789,-7.9789
GRID,BTC,T-12,"[0.20,0.25)",97,-6.3648,1,3.7619,77.0,66.8733,10.1267
GRID,BTC,T-12,"[0.25,0.30)",115,-16.1821,3,0.4483,86.0,69.3697,16.6303
GRID,BTC,T-12,"[0.30,0.35)",135,-12.3275,18,0.1874,83.0,70.4851,12.5149
GRID,BTC,T-12,"[0.35,0.40)",162,-2.9795,41,10.0782,81.0,67.9422,13.0578
GRID,BTC,T-12,"[0.40,0.50)",284,-25.1657,130,-7.3336,93.0,75.1679,17.8321
GRID,BTC,T-12,"[0.50,0.60)",57,0.0838,16,4.0,22.0,18.0838,3.9162
GRID,BTC,T-12,"[0.90,0.99]",4,-1.8947,0,0,2.0,0.1053,1.8947
GRID,BTC,T-5,BELOW_0.01,19,-19.0,0,0,19.0,0,19.0
GRID,BTC,T-5,"[0.01,0.05)",120,-70.0,5,20.0,114.0,24.0,90.0
GRID,BTC,T-5,"[0.05,0.10)",139,-35.6667,10,6.6667,123.0,80.6667,42.3333
GRID,BTC,T-5,"[0.10,0.15)",92,17.7869,19,-11.8571,61.0,90.644,-29.644
GRID,BTC,T-5,"[0.15,0.20)",75,0.4446,17,22.3253,52.0,30.1193,21.8807
GRID,BTC,T-5,"[0.20,0.25)",54,17.2949,21,1.2101,22.0,38.0848,-16.0848
GRID,BTC,T-5,"[0.25,0.30)",55,-14.5756,24,-5.9913,25.0,16.4157,8.5843
GRID,BTC,T-5,"[0.30,0.35)",51,-7.6266,23,-1.0699,21.0,14.4433,6.5567
GRID,BTC,T-5,"[0.35,0.40)",48,11.1943,23,0.9921,12.0,22.2021,-10.2021
GRID,BTC,T-5,"[0.40,0.50)",79,4.985,53,-0.6973,12.0,17.6823,-5.6823
GRID,BTC,T-5,"[0.50,0.60)",15,-3.1524,5,1.0,7.0,2.8476,4.1524
GRID,BTC,T-5,"[0.90,0.99]",1,-1.0,1,-1.0,0,0,0.0
GRID,BTC,T-8,BELOW_0.01,1,-1.0,0,0,1.0,0,1.0
GRID,BTC,T-8,"[0.01,0.05)",24,-24.0,0,0,24.0,0,24.0
GRID,BTC,T-8,"[0.05,0.10)",76,-29.2143,1,-1.0,72.0,43.7857,28.2143
GRID,BTC,T-8,"[0.10,0.15)",76,-35.0476,3,4.1429,69.0,29.8095,39.1905
GRID,BTC,T-8,"[0.15,0.20)",89,-6.8135,5,6.1111,72.0,59.0754,12.9246
GRID,BTC,T-8,"[0.20,0.25)",85,-17.9847,20,-2.7381,54.0,38.7534,15.2466
GRID,BTC,T-8,"[0.25,0.30)",76,-16.9662,27,-12.1443,37.0,32.1781,4.8219
GRID,BTC,T-8,"[0.30,0.35)",68,15.5489,31,6.6872,22.0,30.8617,-8.8617
GRID,BTC,T-8,"[0.35,0.40)",73,-13.0221,33,-5.6562,28.0,20.6341,7.3659
GRID,BTC,T-8,"[0.40,0.50)",140,12.3413,72,-1.331,32.0,45.6723,-13.6723
GRID,BTC,T-8,"[0.50,0.60)",18,-10.0392,4,-2.0,11.0,2.9608,8.0392
GRID,BTC,T-8,"[0.90,0.99]",1,-1.0,1,-1.0,0,0,0.0
GRID,DOGE,T-12,"[0.05,0.10)",12,-12.0,0,0,12.0,0,12.0
GRID,DOGE,T-12,"[0.10,0.15)",39,25.6953,1,-1.0,30.0,56.6953,-26.6953
GRID,DOGE,T-12,"[0.15,0.20)",68,2.2713,1,5.6667,56.0,52.6047,3.3953
GRID,DOGE,T-12,"[0.20,0.25)",105,4.5473,2,-2.0,79.0,85.5473,-6.5473
GRID,DOGE,T-12,"[0.25,0.30)",119,-1.6357,6,-2.4286,82.0,82.7929,-0.7929
GRID,DOGE,T-12,"[0.30,0.35)",105,-33.1741,15,-2.8615,71.0,40.6874,30.3126
GRID,DOGE,T-12,"[0.35,0.40)",122,-0.8141,36,-4.3201,53.0,56.5061,-3.5061
GRID,DOGE,T-12,"[0.40,0.50)",245,-29.3,123,-8.4044,77.0,56.1045,20.8955
GRID,DOGE,T-12,"[0.50,0.60)",121,-3.6193,36,-4.5822,40.0,40.9629,-0.9629
GRID,DOGE,T-12,"[0.60,0.70)",1,-1.0,1,-1.0,0,0,0.0
