asset,entry_rule,days,status,ct_exp_ci95,ct_minus_c0_ci95
BTC,T-12,28,OK,"[-0.061341, 0.182578]","[-0.029059, 0.184427]"
BTC,T-5,27,OK,"[-0.084198, 0.431871]","[-0.003819, 0.333113]"
BTC,T-8,27,OK,"[-0.217698, 0.165439]","[0.0346, 0.274336]"
DOGE,T-12,28,OK,"[-0.287422, 0.121561]","[-0.057571, 0.121527]"
DOGE,T-5,27,OK,"[-0.289611, 0.644468]","[0.164113, 0.407577]"
DOGE,T-8,27,OK,"[-0.163302, 0.213152]","[-0.117311, 0.264843]"
ETH,T-12,28,OK,"[-0.244548, 0.07892]","[-0.019284, 0.154178]"
ETH,T-5,27,OK,"[-0.424846, 0.044439]","[-0.085981, 0.340079]"
ETH,T-8,27,OK,"[-0.348192, 0.034937]","[0.094171, 0.275281]"
SOL,T-12,28,OK,"[-0.21454, 0.090745]","[0.014999, 0.169894]"
SOL,T-5,27,OK,"[-0.01269, 1.415971]","[0.061472, 0.398353]"
SOL,T-8,26,OK,"[-0.308673, -0.025666]","[-0.149134, 0.237042]"
XRP,T-12,28,OK,"[-0.119521, 0.191138]","[0.008136, 0.163997]"
XRP,T-5,26,OK,"[-0.434351, 0.016503]","[0.091832, 0.444483]"
XRP,T-8,26,OK,"[-0.311541, 0.043308]","[0.065034, 0.342661]"
