asset,entry_rule,c0_n,c0_gross,ct_n,ct_gross,ct_coverage,ct_missing_reason_top,days,markets
BTC,T-12,954,-66.6697,209,11.1422,0.2191,non-REVERSION,28,954
BTC,T-5,748,-99.3156,201,31.5787,0.2687,non-REVERSION,27,748
BTC,T-8,727,-127.1974,197,-8.9285,0.271,non-REVERSION,27,727
DOGE,T-12,952,-53.8354,221,-20.9302,0.2321,non-REVERSION,28,952
DOGE,T-5,702,-174.7433,198,27.4263,0.2821,non-REVERSION,27,702
DOGE,T-8,699,-61.8351,201,4.2858,0.2876,non-REVERSION,27,699
ETH,T-12,930,-85.3989,209,-17.674,0.2247,non-REVERSION,28,930
ETH,T-5,695,-133.8294,181,-37.2828,0.2604,non-REVERSION,27,695
ETH,T-8,686,-160.6291,189,-32.4946,0.2755,non-REVERSION,27,686
SOL,T-12,962,-103.8514,223,-14.5774,0.2318,non-REVERSION,28,962
SOL,T-5,733,-58.529,174,116.859,0.2374,non-REVERSION,27,733
SOL,T-8,727,-69.4393,191,-31.3691,0.2627,non-REVERSION,26,727
XRP,T-12,966,-75.5507,233,7.6707,0.2412,non-REVERSION,28,966
XRP,T-5,705,-249.3727,161,-38.4783,0.2284,non-REVERSION,26,705
XRP,T-8,702,-177.7124,190,-24.86,0.2707,non-REVERSION,26,702
