measure,n,days,win_rate,pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top1,top3_share,top5_share,ex_top5_pnl,entry_policy,entry_rule,asset,variant,price_bin,status,exp_ci95,p_perm,day_var,holm_adj_p
gross,1,1,1.0,0.003,0.003009,0.003,0.0,,0.0,0.003,0.003,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,BTC,NO_FAVORITE,ABOVE_0.99,INSUFFICIENT_SAMPLE,,,,
gross,96,22,0.4896,-8.1646,-0.085048,0.8688,-1.0,0.8688,13.3616,-1.0,0.9608,-0.353,-0.5884,-12.9686,FUNNEL,FUNNEL_OBSERVED,BTC,NO_FAVORITE,"[0.50,0.60)",OK,"[-0.322168, 0.070908]",0.864568,2.749023,1.0
gross,23,10,0.7391,3.3577,0.145987,0.5505,-1.0,0.5505,3.875,0.5152,0.6393,0.5634,0.9284,0.2403,FUNNEL,FUNNEL_OBSERVED,BTC,NO_FAVORITE,"[0.60,0.70)",OK,"[-0.015508, 0.512163]",0.0005,0.319827,0.1545
gross,38,17,0.7368,-0.4468,-0.011759,0.3412,-1.0,0.3412,3.6726,0.3158,0.4286,-2.8773,-4.6179,-2.5103,FUNNEL,FUNNEL_OBSERVED,BTC,NO_FAVORITE,"[0.70,0.80)",OK,"[-0.205285, 0.156284]",0.566717,0.745446,1.0
gross,43,19,0.814,-1.159,-0.026954,0.1955,-1.0,0.1955,5.1398,0.1765,0.25,-0.6471,-1.0785,-2.409,FUNNEL,FUNNEL_OBSERVED,BTC,NO_FAVORITE,"[0.80,0.90)",OK,"[-0.194738, 0.117626]",0.643678,0.620014,1.0
gross,15,10,0.8667,-1.0042,-0.066945,0.0766,-1.0,0.0766,1.1274,0.0753,0.1111,-0.3319,-0.5289,-1.5353,FUNNEL,FUNNEL_OBSERVED,BTC,NO_FAVORITE,"[0.90,0.99]",OK,"[-0.178456, 0.084529]",0.809095,0.144847,1.0
gross,2,2,0.0,-2.0,-1.0,0.0,-1.0,0.0,2.0,-1.0,-1.0,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,BTC,NO_OUTSIDER,"[0.10,0.15)",INSUFFICIENT_SAMPLE,,,,
gross,2,1,0.0,-2.0,-1.0,0.0,-1.0,0.0,2.0,-1.0,-1.0,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,BTC,NO_OUTSIDER,"[0.15,0.20)",INSUFFICIENT_SAMPLE,,,,
gross,2,2,0.0,-2.0,-1.0,0.0,-1.0,0.0,2.0,-1.0,-1.0,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,BTC,NO_OUTSIDER,"[0.20,0.25)",INSUFFICIENT_SAMPLE,,,,
gross,4,4,0.5,3.5499,0.887464,2.7749,-1.0,2.7749,2.0,0.8519,2.8462,1.2817,1.0,-0.0,FUNNEL,FUNNEL_OBSERVED,BTC,NO_OUTSIDER,"[0.25,0.30)",INSUFFICIENT_SAMPLE,,,,
