max_price,entry_time,measure,n,days,win_rate,pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top1,top3_share,top5_share,ex_top5_pnl,ci95,status,days_n
0.3,12,gross,1733,28,0.202,-135.8682,-0.078401,3.5632,-1.0,3.5632,222.9136,-1.0,13.2857,-0.2487,-0.3745,-186.7448,"[-0.205082, 0.047314]",OK,28
0.3,8,gross,2194,27,0.1226,-582.6737,-0.265576,4.9901,-1.0,4.9901,603.4796,-1.0,49.0,-0.2237,-0.3061,-761.007,"[-0.414189, -0.103972]",OK,27
0.3,5,gross,2714,27,0.0881,-756.4092,-0.278706,7.1908,-1.0,7.1908,756.4092,-1.0,49.0,-0.1943,-0.3239,-1001.4092,"[-0.409607, -0.142145]",OK,27
0.35,12,gross,2371,28,0.2256,-215.4592,-0.090873,3.029,-1.0,3.029,296.5599,-1.0,13.2857,-0.1568,-0.2361,-266.3359,"[-0.195415, 0.017827]",OK,28
0.35,8,gross,2515,27,0.1515,-564.2466,-0.224353,4.1201,-1.0,4.1201,589.9221,-1.0,49.0,-0.231,-0.3161,-742.5799,"[-0.363743, -0.080762]",OK,27
0.35,5,gross,2922,27,0.1057,-752.997,-0.257699,6.0194,-1.0,6.0194,752.997,-1.0,49.0,-0.1952,-0.3254,-997.997,"[-0.378643, -0.133109]",OK,27
0.4,12,gross,3057,28,0.2574,-238.0388,-0.077867,2.5819,-1.0,2.5819,311.0668,-1.0,13.2857,-0.1419,-0.2137,-288.9154,"[-0.164052, 0.012113]",OK,28
0.4,8,gross,2852,27,0.1781,-569.2871,-0.19961,3.4935,-1.0,3.4935,600.2029,-1.0,49.0,-0.2289,-0.3133,-747.6204,"[-0.317119, -0.0772]",OK,27
0.4,5,gross,3112,27,0.1276,-711.4522,-0.228616,5.0467,-1.0,5.0467,711.4522,-1.0,49.0,-0.2066,-0.3444,-956.4522,"[-0.342941, -0.112746]",OK,27
0.5,12,gross,4431,28,0.3072,-355.9467,-0.080331,1.9942,-1.0,1.9942,413.2531,-1.0,13.2857,-0.0949,-0.1429,-406.8233,"[-0.150486, -0.007318]",OK,28
0.5,8,gross,3479,27,0.2268,-578.8623,-0.166388,2.6757,-1.0,2.6757,612.2824,-1.0,49.0,-0.2252,-0.3081,-757.1956,"[-0.267209, -0.054635]",OK,27
0.5,5,gross,3517,27,0.1652,-711.6064,-0.202333,3.8286,-1.0,3.8286,712.8791,-1.0,49.0,-0.2066,-0.3443,-956.6064,"[-0.307932, -0.096281]",OK,27
