asset,entry_rule,days,status,ct_exp_ci95,ct_minus_c0_ci95
BTC,T-12,30,OK,"[-0.09138, 0.14107]","[-0.03022, 0.168113]"
BTC,T-5,30,OK,"[-0.142255, 0.331464]","[0.027545, 0.305164]"
BTC,T-8,29,OK,"[-0.263079, 0.043492]","[0.027397, 0.244204]"
DOGE,T-12,30,OK,"[-0.271214, 0.09604]","[-0.039147, 0.134785]"
DOGE,T-5,29,OK,"[-0.301392, 0.449039]","[0.009288, 0.352971]"
DOGE,T-8,29,OK,"[-0.189394, 0.128937]","[-0.052059, 0.267426]"
ETH,T-12,30,OK,"[-0.250302, 0.057793]","[-0.013779, 0.152781]"
ETH,T-5,30,OK,"[-0.451901, -0.032313]","[-0.055738, 0.313088]"
ETH,T-8,29,OK,"[-0.363366, -0.026285]","[0.090425, 0.275504]"
SOL,T-12,30,OK,"[-0.244818, 0.034259]","[0.024852, 0.16502]"
SOL,T-5,30,OK,"[-0.069312, 1.186249]","[0.065977, 0.366143]"
SOL,T-8,28,OK,"[-0.353692, -0.069959]","[-0.113415, 0.25038]"
XRP,T-12,30,OK,"[-0.129472, 0.162611]","[0.011896, 0.150385]"
XRP,T-5,28,OK,"[-0.414838, 0.08877]","[0.030568, 0.408771]"
XRP,T-8,28,OK,"[-0.304082, 0.0101]","[0.04589, 0.303483]"
