asset,entry_rule,c0_n,c0_gross,ct_n,ct_gross,ct_coverage,ct_missing_reason_top,days,markets
BTC,T-12,1068,-75.9792,232,4.9512,0.2172,non-REVERSION,30,1068
BTC,T-5,906,-135.3087,241,21.6656,0.266,non-REVERSION,30,906
BTC,T-8,881,-156.9014,233,-29.9239,0.2645,non-REVERSION,29,881
DOGE,T-12,1072,-72.583,259,-24.1202,0.2416,non-REVERSION,30,1072
DOGE,T-5,869,-162.683,252,8.3638,0.29,non-REVERSION,29,869
DOGE,T-8,865,-110.3435,251,-7.4661,0.2902,non-REVERSION,29,865
ETH,T-12,1062,-101.1499,234,-23.4508,0.2203,non-REVERSION,30,1062
ETH,T-5,873,-183.6382,232,-59.1477,0.2658,non-REVERSION,30,873
ETH,T-8,869,-216.0857,239,-51.0881,0.275,non-REVERSION,29,869
SOL,T-12,1084,-130.8848,260,-26.9673,0.2399,non-REVERSION,30,1084
SOL,T-5,886,-92.0099,204,106.3131,0.2302,non-REVERSION,30,886
SOL,T-8,886,-123.4251,241,-50.7876,0.272,non-REVERSION,28,886
XRP,T-12,1076,-90.9018,254,2.0167,0.2361,non-REVERSION,30,1076
XRP,T-5,860,-241.6476,186,-36.6358,0.2163,non-REVERSION,28,860
XRP,T-8,866,-189.8394,227,-33.1282,0.2621,non-REVERSION,28,866
