max_price,entry_time,measure,n,days,win_rate,pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top1,top3_share,top5_share,ex_top5_pnl,ci95,status,days_n
0.3,12,gross,1932,30,0.2045,-146.3005,-0.075725,3.5208,-1.0,3.5208,230.8138,-1.0,13.2857,-0.2309,-0.3478,-197.1771,"[-0.186936, 0.039166]",OK,30
0.3,8,gross,2662,29,0.121,-703.5089,-0.264278,5.0823,-1.0,5.0823,703.7589,-1.0,49.0,-0.1853,-0.2535,-881.8422,"[-0.409735, -0.113751]",OK,29
0.3,5,gross,3311,30,0.0897,-823.4345,-0.248697,7.3756,-1.0,7.3756,832.99,-1.0,49.0,-0.1785,-0.2975,-1068.4345,"[-0.379281, -0.10875]",OK,30
0.35,12,gross,2642,30,0.226,-246.2982,-0.093224,3.0129,-1.0,3.0129,321.8668,-1.0,13.2857,-0.1372,-0.2066,-297.1748,"[-0.182445, 0.005336]",OK,30
0.35,8,gross,3089,29,0.1473,-726.6633,-0.235242,4.1919,-1.0,4.1919,726.9133,-1.0,49.0,-0.1794,-0.2454,-904.9966,"[-0.361704, -0.104147]",OK,29
0.35,5,gross,3560,30,0.1059,-830.7526,-0.233357,6.2394,-1.0,6.2394,840.3082,-1.0,49.0,-0.1769,-0.2949,-1075.7526,"[-0.354055, -0.106562]",OK,30
0.4,12,gross,3431,30,0.2542,-312.044,-0.090948,2.5768,-1.0,2.5768,383.641,-1.0,13.2857,-0.1083,-0.163,-362.9206,"[-0.16731, -0.005589]",OK,30
0.4,8,gross,3491,29,0.173,-739.2089,-0.211747,3.5559,-1.0,3.5559,739.2089,-1.0,49.0,-0.1763,-0.2412,-917.5422,"[-0.320681, -0.096337]",OK,29
0.4,5,gross,3801,30,0.1268,-795.9034,-0.209393,5.2346,-1.0,5.2346,808.1812,-1.0,49.0,-0.1847,-0.3078,-1040.9034,"[-0.323729, -0.088074]",OK,30
0.5,12,gross,5002,30,0.3061,-441.5169,-0.088268,1.9788,-1.0,1.9788,506.7288,-1.0,13.2857,-0.0765,-0.1152,-492.3935,"[-0.152089, -0.017506]",OK,30
0.5,8,gross,4291,29,0.2221,-772.2305,-0.179965,2.6923,-1.0,2.6923,772.2305,-1.0,49.0,-0.1688,-0.2309,-950.5638,"[-0.277009, -0.07212]",OK,29
0.5,5,gross,4311,30,0.1642,-809.1404,-0.187692,3.9461,-1.0,3.9461,821.4182,-1.0,49.0,-0.1817,-0.3028,-1054.1404,"[-0.290855, -0.078717]",OK,30
