bin,lo,hi,n,acc,conf,model,split
0,0.0,0.1,2724,0.047357,0.042506,M0,train
1,0.1,0.2,2459,0.120374,0.151827,M0,train
2,0.2,0.3,3319,0.208195,0.252258,M0,train
3,0.3,0.4,4556,0.313872,0.351932,M0,train
4,0.4,0.5,5007,0.423807,0.446434,M0,train
5,0.5,0.6,6280,0.538057,0.542057,M0,train
6,0.6,0.7,4412,0.68019,0.647872,M0,train
7,0.7,0.8,3169,0.78195,0.746877,M0,train
8,0.8,0.9,2487,0.872135,0.848185,M0,train
9,0.9,1.0,2761,0.955813,0.956895,M0,train
0,0.0,0.1,746,0.081769,0.042277,M0,validation
1,0.1,0.2,750,0.137333,0.150506,M0,validation
2,0.2,0.3,989,0.219414,0.253897,M0,validation
3,0.3,0.4,1395,0.296774,0.352481,M0,validation
4,0.4,0.5,1611,0.4072,0.446772,M0,validation
5,0.5,0.6,2344,0.552474,0.53894,M0,validation
6,0.6,0.7,1549,0.68754,0.647709,M0,validation
7,0.7,0.8,1110,0.778378,0.746031,M0,validation
8,0.8,0.9,828,0.884058,0.847094,M0,validation
9,0.9,1.0,868,0.957373,0.957956,M0,validation
0,0.0,0.1,870,0.051724,0.046312,M0,test
1,0.1,0.2,849,0.128386,0.151496,M0,test
2,0.2,0.3,1100,0.196364,0.252716,M0,test
3,0.3,0.4,1521,0.307692,0.352042,M0,test
4,0.4,0.5,1792,0.398438,0.447684,M0,test
5,0.5,0.6,2033,0.558288,0.546717,M0,test
6,0.6,0.7,1580,0.672785,0.648064,M0,test
7,0.7,0.8,1166,0.77187,0.74807,M0,test
8,0.8,0.9,831,0.847172,0.84718,M0,test
9,0.9,1.0,963,0.962617,0.958399,M0,test
0,0.0,0.1,3366,0.059715,0.045329,M1,train
1,0.1,0.2,2930,0.145392,0.151272,M1,train
2,0.2,0.3,3576,0.245246,0.251008,M1,train
3,0.3,0.4,4259,0.338108,0.351232,M1,train
4,0.4,0.5,5391,0.453719,0.456045,M1,train
5,0.5,0.6,4335,0.54579,0.552914,M1,train
6,0.6,0.7,4074,0.657094,0.648878,M1,train
7,0.7,0.8,3271,0.762152,0.74739,M1,train
8,0.8,0.9,2829,0.855779,0.849923,M1,train
9,0.9,1.0,3143,0.950366,0.954575,M1,train
0,0.0,0.1,953,0.091291,0.046737,M1,validation
1,0.1,0.2,854,0.163934,0.150337,M1,validation
2,0.2,0.3,1081,0.232192,0.25169,M1,validation
3,0.3,0.4,1318,0.330804,0.35151,M1,validation
4,0.4,0.5,1962,0.439348,0.460522,M1,validation
5,0.5,0.6,1470,0.57551,0.552899,M1,validation
6,0.6,0.7,1467,0.671438,0.64926,M1,validation
7,0.7,0.8,1122,0.754902,0.746841,M1,validation
8,0.8,0.9,971,0.866117,0.848478,M1,validation
9,0.9,1.0,992,0.950605,0.955138,M1,validation
0,0.0,0.1,1090,0.055963,0.048339,M1,test
1,0.1,0.2,1000,0.157,0.15084,M1,test
2,0.2,0.3,1176,0.228741,0.251619,M1,test
3,0.3,0.4,1447,0.328265,0.350608,M1,test
4,0.4,0.5,1692,0.427305,0.451663,M1,test
5,0.5,0.6,1582,0.558154,0.551797,M1,test
6,0.6,0.7,1431,0.655486,0.647581,M1,test
7,0.7,0.8,1214,0.752883,0.747574,M1,test
8,0.8,0.9,968,0.834711,0.846772,M1,test
9,0.9,1.0,1105,0.952941,0.955314,M1,test
0,0.0,0.1,0,,,C,train
1,0.1,0.2,0,,,C,train
2,0.2,0.3,0,,,C,train
3,0.3,0.4,0,,,C,train
4,0.4,0.5,37174,0.493194,0.493194,C,train
5,0.5,0.6,0,,,C,train
6,0.6,0.7,0,,,C,train
7,0.7,0.8,0,,,C,train
8,0.8,0.9,0,,,C,train
9,0.9,1.0,0,,,C,train
0,0.0,0.1,0,,,C,validation
1,0.1,0.2,0,,,C,validation
2,0.2,0.3,0,,,C,validation
3,0.3,0.4,0,,,C,validation
4,0.4,0.5,12190,0.511731,0.493194,C,validation
5,0.5,0.6,0,,,C,validation
6,0.6,0.7,0,,,C,validation
7,0.7,0.8,0,,,C,validation
8,0.8,0.9,0,,,C,validation
9,0.9,1.0,0,,,C,validation
0,0.0,0.1,0,,,C,test
1,0.1,0.2,0,,,C,test
2,0.2,0.3,0,,,C,test
3,0.3,0.4,0,,,C,test
4,0.4,0.5,12705,0.494372,0.493194,C,test
5,0.5,0.6,0,,,C,test
6,0.6,0.7,0,,,C,test
7,0.7,0.8,0,,,C,test
8,0.8,0.9,0,,,C,test
9,0.9,1.0,0,,,C,test
