bin,lo,hi,n,acc,conf,model,split
0,0.0,0.1,3326,0.058028,0.045285,M2,train
1,0.1,0.2,2953,0.146292,0.151355,M2,train
2,0.2,0.3,3589,0.243801,0.251433,M2,train
3,0.3,0.4,4290,0.338228,0.351351,M2,train
4,0.4,0.5,5133,0.451783,0.452594,M2,train
5,0.5,0.6,4617,0.54386,0.549572,M2,train
6,0.6,0.7,4023,0.658464,0.648535,M2,train
7,0.7,0.8,3243,0.762566,0.747057,M2,train
8,0.8,0.9,2809,0.854753,0.849836,M2,train
9,0.9,1.0,3191,0.949546,0.954759,M2,train
0,0.0,0.1,923,0.089924,0.04599,M2,validation
1,0.1,0.2,878,0.166287,0.150016,M2,validation
2,0.2,0.3,1061,0.227144,0.251812,M2,validation
3,0.3,0.4,1351,0.329386,0.350842,M2,validation
4,0.4,0.5,1866,0.442658,0.456346,M2,validation
5,0.5,0.6,1597,0.567314,0.549305,M2,validation
6,0.6,0.7,1445,0.680277,0.649782,M2,validation
7,0.7,0.8,1115,0.747085,0.747304,M2,validation
8,0.8,0.9,961,0.864724,0.849039,M2,validation
9,0.9,1.0,993,0.950655,0.955615,M2,validation
0,0.0,0.1,1075,0.055814,0.048396,M2,test
1,0.1,0.2,995,0.154774,0.150313,M2,test
2,0.2,0.3,1190,0.231092,0.251575,M2,test
3,0.3,0.4,1464,0.327186,0.350603,M2,test
4,0.4,0.5,1646,0.427096,0.449598,M2,test
5,0.5,0.6,1631,0.554874,0.549267,M2,test
6,0.6,0.7,1431,0.657582,0.646827,M2,test
7,0.7,0.8,1187,0.748104,0.746964,M2,test
8,0.8,0.9,986,0.838742,0.846805,M2,test
9,0.9,1.0,1100,0.953636,0.956046,M2,test
0,0.0,0.1,3388,0.060803,0.044733,M3,train
1,0.1,0.2,2944,0.14572,0.151449,M3,train
2,0.2,0.3,3533,0.243702,0.251663,M3,train
3,0.3,0.4,4221,0.339019,0.351155,M3,train
4,0.4,0.5,5175,0.448309,0.453842,M3,train
5,0.5,0.6,4596,0.546127,0.55055,M3,train
6,0.6,0.7,4093,0.658686,0.648987,M3,train
7,0.7,0.8,3280,0.761585,0.747531,M3,train
8,0.8,0.9,2823,0.856181,0.849922,M3,train
9,0.9,1.0,3121,0.950336,0.954389,M3,train
0,0.0,0.1,946,0.087738,0.045927,M3,validation
1,0.1,0.2,864,0.168981,0.150084,M3,validation
2,0.2,0.3,1081,0.232192,0.252248,M3,validation
3,0.3,0.4,1308,0.327217,0.352172,M3,validation
4,0.4,0.5,1892,0.439218,0.458626,M3,validation
5,0.5,0.6,1559,0.573445,0.550524,M3,validation
6,0.6,0.7,1475,0.671186,0.649404,M3,validation
7,0.7,0.8,1130,0.756637,0.747222,M3,validation
8,0.8,0.9,966,0.86646,0.848819,M3,validation
9,0.9,1.0,969,0.952528,0.955214,M3,validation
0,0.0,0.1,1093,0.054895,0.047875,M3,test
1,0.1,0.2,998,0.158317,0.150694,M3,test
2,0.2,0.3,1171,0.229718,0.251905,M3,test
3,0.3,0.4,1436,0.326602,0.350998,M3,test
