asset,entry_min_before_close,status,n
BTC,5,delay_too_large,2628
BTC,5,no_quote,264
BTC,5,no_strike,9
BTC,5,ok,4027
BTC,5,snapshot_missing,176
BTC,8,delay_too_large,2570
BTC,8,no_quote,277
BTC,8,no_strike,9
BTC,8,ok,4095
BTC,8,snapshot_missing,153
BTC,12,delay_too_large,2339
BTC,12,no_quote,291
BTC,12,no_strike,9
BTC,12,ok,4325
BTC,12,snapshot_missing,140
DOGE,5,delay_too_large,2621
DOGE,5,no_quote,176
DOGE,5,no_strike,9
DOGE,5,ok,3940
DOGE,5,snapshot_missing,268
DOGE,8,delay_too_large,2593
DOGE,8,no_quote,182
DOGE,8,no_strike,9
DOGE,8,ok,4075
DOGE,8,snapshot_missing,155
DOGE,12,delay_too_large,2330
DOGE,12,no_quote,205
DOGE,12,no_strike,9
DOGE,12,ok,4332
DOGE,12,snapshot_missing,138
ETH,5,delay_too_large,2626
ETH,5,no_quote,264
ETH,5,no_strike,9
ETH,5,ok,3991
ETH,5,snapshot_missing,212
ETH,8,delay_too_large,2594
ETH,8,no_quote,273
ETH,8,no_strike,9
ETH,8,ok,4075
ETH,8,snapshot_missing,151
ETH,12,delay_too_large,2320
ETH,12,no_quote,290
ETH,12,no_strike,9
ETH,12,ok,4345
ETH,12,snapshot_missing,138
SOL,5,delay_too_large,2574
SOL,5,no_quote,179
SOL,5,no_strike,9
SOL,5,ok,4037
SOL,5,snapshot_missing,215
SOL,8,delay_too_large,2565
SOL,8,no_quote,187
SOL,8,no_strike,9
SOL,8,ok,4099
SOL,8,snapshot_missing,154
SOL,12,delay_too_large,2341
SOL,12,no_quote,202
SOL,12,no_strike,9
SOL,12,ok,4322
SOL,12,snapshot_missing,140
XRP,5,delay_too_large,2614
XRP,5,no_quote,176
XRP,5,no_strike,9
XRP,5,ok,3993
XRP,5,snapshot_missing,222
XRP,8,delay_too_large,2585
XRP,8,no_quote,182
XRP,8,no_strike,9
XRP,8,ok,4085
XRP,8,snapshot_missing,153
XRP,12,delay_too_large,2338
XRP,12,no_quote,201
XRP,12,no_strike,9
XRP,12,ok,4328
XRP,12,snapshot_missing,138
