opportunity_id,market_id,asset,calendar_date,decision_at,time_left_min,best_bid,best_ask,executable_ask,spread,final_outcome,target,is_candidate_price,former_favorite_group,token_regime_CT,token_er,token_sign_flips,token_autocorr,spot_regime_CS,spot_er,spot_regime_CS_short,spot_short_reason,spot_price_at_decision,proxy_strike,proxy_reversion_helps,shares,gross_pnl,taker_fee,net_pnl,cohort_tag,neither_subgroup,variants,execution_sim,exclusion_reason,reproduced_fee,reproduced_net_pnl,new_fee,purchase_cash,settlement_proceeds,new_net_pnl,unknown_fee,gross_positive,net_positive,sign_changed
2729464_2026-06-30T11:25:34.916740+00:00,2729464,BTC,2026-06-30,2026-06-30T11:25:34.916740+00:00,4.42,0.003,0.01,0.01,0.007,NO,0,True,OTHER_TRAJECTORY,TREND,0.7906,0.4,-0.0517,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,100.0,-1.0,0.002,-1.002,Neither,"(TREND, UNCERTAIN)","{'C0': True, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.002,-1.002,0.0,1.0,0.0,-1.0,,False,False,False
2729491_2026-06-30T11:40:34.883223+00:00,2729491,BTC,2026-06-30,2026-06-30T11:40:34.883223+00:00,4.42,0.29,0.3,0.3,0.01,YES,1,True,FORMER_FAVORITE,REVERSION,0.2014,0.5833,-0.1437,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,3.3333,2.3333,0.002,2.3313,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0019999799999999997,2.33130002,0.0,0.9999899999999999,3.3333,2.33331,,True,True,False
2729607_2026-06-30T11:55:34.320773+00:00,2729607,BTC,2026-06-30,2026-06-30T11:55:34.320773+00:00,4.43,0.23,0.24,0.24,0.01,NO,0,True,FORMER_FAVORITE,UNCERTAIN,0.232,0.4545,0.1688,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,4.1667,-1.0,0.002,-1.002,Neither,"(UNCERTAIN, UNCERTAIN)","{'C0': True, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0020000159999999994,-1.002000016,0.0,1.0000079999999998,0.0,-1.0000079999999998,,False,False,False
2729858_2026-06-30T12:10:35.281511+00:00,2729858,BTC,2026-06-30,2026-06-30T12:10:35.281511+00:00,4.41,0.01,0.011,0.011,0.001,NO,0,True,PERSISTENT_CHEAP,TREND,0.8937,0.3333,0.2101,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,90.9091,-1.0,0.002,-1.002,Neither,"(TREND, UNCERTAIN)","{'C0': True, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0020000001999999997,-1.0020000002,0.0,1.0000000999999998,0.0,-1.0000000999999998,,False,False,False
2729890_2026-06-30T12:25:35.096042+00:00,2729890,BTC,2026-06-30,2026-06-30T12:25:35.096042+00:00,4.42,0.01,0.02,0.02,0.01,NO,0,True,FORMER_FAVORITE,TREND,0.6364,0.0769,0.4471,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,50.0,-1.0,0.002,-1.002,Neither,"(TREND, UNCERTAIN)","{'C0': True, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.002,-1.002,0.0,1.0,0.0,-1.0,,False,False,False
2730031_2026-06-30T12:55:00.654702+00:00,2730031,BTC,2026-06-30,2026-06-30T12:55:00.654702+00:00,4.99,0.012,0.019,0.019,0.007,NO,0,True,OTHER_TRAJECTORY,TREND,0.9333,0.25,0.6418,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,52.6316,-1.0,0.002,-1.002,Neither,"(TREND, UNCERTAIN)","{'C0': True, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0020000008,-1.0020000008,0.0,1.0000004,0.0,-1.0000004,,False,False,False
2730622_2026-06-30T14:40:18.495187+00:00,2730622,BTC,2026-06-30,2026-06-30T14:40:18.495187+00:00,4.69,0.01,0.02,0.02,0.01,NO,0,True,FORMER_FAVORITE,TREND,0.7368,0.4,0.1183,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,50.0,-1.0,0.002,-1.002,Neither,"(TREND, UNCERTAIN)","{'C0': True, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.002,-1.002,0.0,1.0,0.0,-1.0,,False,False,False
2730735_2026-06-30T14:55:19.104008+00:00,2730735,BTC,2026-06-30,2026-06-30T14:55:19.104008+00:00,4.68,0.002,0.01,0.01,0.008,NO,0,True,PERSISTENT_CHEAP,TREND,0.8945,0.4167,0.0779,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,100.0,-1.0,0.002,-1.002,Neither,"(TREND, UNCERTAIN)","{'C0': True, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.002,-1.002,0.0,1.0,0.0,-1.0,,False,False,False
2730847_2026-06-30T15:10:18.255790+00:00,2730847,BTC,2026-06-30,2026-06-30T15:10:18.255790+00:00,4.7,0.13,0.14,0.14,0.01,NO,0,True,FORMER_FAVORITE,UNCERTAIN,0.223,0.5,0.1027,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,7.1429,-1.0,0.002,-1.002,Neither,"(UNCERTAIN, UNCERTAIN)","{'C0': True, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0020000120000000002,-1.002000012,0.0,1.0000060000000002,0.0,-1.0000060000000002,,False,False,False
2732119_2026-06-30T16:25:22.808314+00:00,2732119,BTC,2026-06-30,2026-06-30T16:25:22.808314+00:00,4.62,0.06,0.07,0.07,0.01,NO,0,True,FORMER_FAVORITE,REVERSION,0.2632,0.5833,-0.0745,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,14.2857,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0019999980000000002,-1.001999998,0.0,0.9999990000000001,0.0,-0.9999990000000001,,False,False,False
