opportunity_id,market_id,asset,calendar_date,decision_at,time_left_min,best_bid,best_ask,executable_ask,spread,final_outcome,target,is_candidate_price,former_favorite_group,token_regime_CT,token_er,token_sign_flips,token_autocorr,spot_regime_CS,spot_er,spot_regime_CS_short,spot_short_reason,spot_price_at_decision,proxy_strike,proxy_reversion_helps,shares,gross_pnl,taker_fee,net_pnl,cohort_tag,neither_subgroup,variants,execution_sim,exclusion_reason,reproduced_fee,reproduced_net_pnl,new_fee,purchase_cash,settlement_proceeds,new_net_pnl,unknown_fee,gross_positive,net_positive,sign_changed
2729491_2026-06-30T11:40:34.883223+00:00,2729491,BTC,2026-06-30,2026-06-30T11:40:34.883223+00:00,4.42,0.29,0.3,0.3,0.01,YES,1,True,FORMER_FAVORITE,REVERSION,0.2014,0.5833,-0.1437,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,3.3333,2.3333,0.002,2.3313,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0019999799999999997,2.33130002,0.0,0.9999899999999999,3.3333,2.33331,,True,True,False
2732119_2026-06-30T16:25:22.808314+00:00,2732119,BTC,2026-06-30,2026-06-30T16:25:22.808314+00:00,4.62,0.06,0.07,0.07,0.01,NO,0,True,FORMER_FAVORITE,REVERSION,0.2632,0.5833,-0.0745,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,14.2857,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0019999980000000002,-1.001999998,0.0,0.9999990000000001,0.0,-0.9999990000000001,,False,False,False
2734302_2026-06-30T19:10:23.085173+00:00,2734302,BTC,2026-06-30,2026-06-30T19:10:23.085173+00:00,4.62,0.29,0.3,0.3,0.01,NO,0,True,FORMER_FAVORITE,REVERSION,0.0791,0.7273,-0.1862,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,3.3333,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0019999799999999997,-1.00199998,0.0,0.9999899999999999,0.0,-0.9999899999999999,,False,False,False
2734393_2026-06-30T19:25:23.550867+00:00,2734393,BTC,2026-06-30,2026-06-30T19:25:23.550867+00:00,4.61,0.25,0.26,0.26,0.01,YES,1,True,OTHER_TRAJECTORY,REVERSION,0.3067,0.6364,-0.3407,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,3.8462,2.8462,0.002,2.8442,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0020000240000000004,2.844199976,0.0,1.0000120000000001,3.8462,2.8461879999999997,,True,True,False
2736143_2026-06-30T22:40:23.743935+00:00,2736143,BTC,2026-06-30,2026-06-30T22:40:23.743935+00:00,4.6,0.12,0.13,0.13,0.01,NO,0,True,PERSISTENT_CHEAP,REVERSION,0.3333,0.7,-0.0865,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,7.6923,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0019999980000000002,-1.001999998,0.0,0.9999990000000001,0.0,-0.9999990000000001,,False,False,False
2737182_2026-06-30T23:40:23.990463+00:00,2737182,BTC,2026-06-30,2026-06-30T23:40:23.990463+00:00,4.6,0.21,0.22,0.22,0.01,NO,0,True,FORMER_FAVORITE,REVERSION,0.1944,0.5,-0.2622,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,4.5455,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.00200002,-1.00200002,0.0,1.0000099999999998,0.0,-1.0000099999999998,,False,False,False
2738782_2026-07-01T04:10:34.377049+00:00,2738782,BTC,2026-07-01,2026-07-01T04:10:34.377049+00:00,4.43,0.19,0.2,0.2,0.01,NO,0,True,PERSISTENT_CHEAP,REVERSION,0.3846,0.4545,-0.1076,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,5.0,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.002,-1.002,0.0,1.0,0.0,-1.0,,False,False,False
2740364_2026-07-01T07:40:34.861360+00:00,2740364,BTC,2026-07-01,2026-07-01T07:40:34.861360+00:00,4.42,0.22,0.23,0.23,0.01,NO,0,True,OTHER_TRAJECTORY,REVERSION,0.122,0.4615,-0.2481,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,4.3478,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0019999880000000003,-1.001999988,0.0,0.9999940000000002,0.0,-0.9999940000000002,,False,False,False
2740508_2026-07-01T08:10:34.858134+00:00,2740508,BTC,2026-07-01,2026-07-01T08:10:34.858134+00:00,4.42,0.27,0.29,0.29,0.02,NO,0,True,FORMER_FAVORITE,REVERSION,0.0602,0.4615,-0.288,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,3.4483,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0020000139999999996,-1.002000014,0.0,1.0000069999999999,0.0,-1.0000069999999999,,False,False,False
2740748_2026-07-01T09:25:35.429858+00:00,2740748,BTC,2026-07-01,2026-07-01T09:25:35.429858+00:00,4.41,0.12,0.13,0.13,0.01,NO,0,True,FORMER_FAVORITE,REVERSION,0.3608,0.5833,-0.187,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,7.6923,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0019999980000000002,-1.001999998,0.0,0.9999990000000001,0.0,-0.9999990000000001,,False,False,False
