opportunity_id,market_id,asset,calendar_date,decision_at,time_left_min,best_bid,best_ask,executable_ask,spread,final_outcome,target,is_candidate_price,former_favorite_group,token_regime_CT,token_er,token_sign_flips,token_autocorr,spot_regime_CS,spot_er,spot_regime_CS_short,spot_short_reason,spot_price_at_decision,proxy_strike,proxy_reversion_helps,shares,gross_pnl,taker_fee,net_pnl,cohort_tag,neither_subgroup,variants,execution_sim,exclusion_reason,reproduced_fee,reproduced_net_pnl,new_fee,purchase_cash,settlement_proceeds,new_net_pnl,gross_positive,net_positive,sign_changed
2729464_2026-06-30T11:25:34.916740+00:00,2729464,BTC,2026-06-30,2026-06-30T11:25:34.916740+00:00,4.42,0.003,0.01,0.01,0.007,NO,0,True,OTHER_TRAJECTORY,TREND,0.7906,0.4,-0.0517,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,100.0,-1.0,0.002,-1.002,Neither,"(TREND, UNCERTAIN)","{'C0': True, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.002,-1.002,0.001,1.0,0.0,-1.001,False,False,False
2729491_2026-06-30T11:40:34.883223+00:00,2729491,BTC,2026-06-30,2026-06-30T11:40:34.883223+00:00,4.42,0.29,0.3,0.3,0.01,YES,1,True,FORMER_FAVORITE,REVERSION,0.2014,0.5833,-0.1437,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,3.3333,2.3333,0.002,2.3313,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0019999799999999997,2.33130002,0.0009999899999999999,0.9999899999999999,3.3333,2.33231001,True,True,False
2729607_2026-06-30T11:55:34.320773+00:00,2729607,BTC,2026-06-30,2026-06-30T11:55:34.320773+00:00,4.43,0.23,0.24,0.24,0.01,NO,0,True,FORMER_FAVORITE,UNCERTAIN,0.232,0.4545,0.1688,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,4.1667,-1.0,0.002,-1.002,Neither,"(UNCERTAIN, UNCERTAIN)","{'C0': True, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0020000159999999994,-1.002000016,0.0010000079999999997,1.0000079999999998,0.0,-1.001008008,False,False,False
2729858_2026-06-30T12:10:35.281511+00:00,2729858,BTC,2026-06-30,2026-06-30T12:10:35.281511+00:00,4.41,0.01,0.011,0.011,0.001,NO,0,True,PERSISTENT_CHEAP,TREND,0.8937,0.3333,0.2101,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,90.9091,-1.0,0.002,-1.002,Neither,"(TREND, UNCERTAIN)","{'C0': True, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0020000001999999997,-1.0020000002,0.0010000000999999998,1.0000000999999998,0.0,-1.0010001000999997,False,False,False
2729890_2026-06-30T12:25:35.096042+00:00,2729890,BTC,2026-06-30,2026-06-30T12:25:35.096042+00:00,4.42,0.01,0.02,0.02,0.01,NO,0,True,FORMER_FAVORITE,TREND,0.6364,0.0769,0.4471,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,50.0,-1.0,0.002,-1.002,Neither,"(TREND, UNCERTAIN)","{'C0': True, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.002,-1.002,0.001,1.0,0.0,-1.001,False,False,False
2730031_2026-06-30T12:55:00.654702+00:00,2730031,BTC,2026-06-30,2026-06-30T12:55:00.654702+00:00,4.99,0.012,0.019,0.019,0.007,NO,0,True,OTHER_TRAJECTORY,TREND,0.9333,0.25,0.6418,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,52.6316,-1.0,0.002,-1.002,Neither,"(TREND, UNCERTAIN)","{'C0': True, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0020000008,-1.0020000008,0.0010000004,1.0000004,0.0,-1.0010004004,False,False,False
2730109_2026-06-30T13:10:01.526502+00:00,2730109,BTC,2026-06-30,2026-06-30T13:10:01.526502+00:00,4.97,0.97,0.98,0.98,0.01,YES,1,False,OTHER_TRAJECTORY,UNCERTAIN,0.4035,0.5,0.165,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,1.0204,0.0204,0.002,0.0184,EXCLUDED_BY_PRICE,,"{'C0': False, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,PRICE_FILTER,0.0019999840000000002,0.018400016,0.0009999920000000001,0.999992,1.0204,0.01940800799999998,True,True,False
2730145_2026-06-30T13:25:01.663293+00:00,2730145,BTC,2026-06-30,2026-06-30T13:25:01.663293+00:00,4.97,0.64,0.65,0.65,0.01,YES,1,False,OTHER_TRAJECTORY,REVERSION,0.0864,0.5833,-0.2789,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,1.5385,0.5385,0.002,0.5365,EXCLUDED_BY_PRICE,,"{'C0': False, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,PRICE_FILTER,0.0020000499999999997,0.53649995,0.0010000249999999999,1.000025,1.5385,0.5374749750000001,True,True,False
2730183_2026-06-30T13:40:19.134491+00:00,2730183,BTC,2026-06-30,2026-06-30T13:40:19.134491+00:00,4.68,0.59,0.6,0.6,0.01,YES,1,False,OTHER_TRAJECTORY,UNCERTAIN,0.082,0.3636,0.0835,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,1.6667,0.6667,0.002,0.6647,EXCLUDED_BY_PRICE,,"{'C0': False, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,PRICE_FILTER,0.00200004,0.66469996,0.00100002,1.00002,1.6667,0.6656799800000002,True,True,False
2730354_2026-06-30T13:55:18.132584+00:00,2730354,BTC,2026-06-30,2026-06-30T13:55:18.132584+00:00,4.7,0.7,0.71,0.71,0.01,YES,1,False,OTHER_TRAJECTORY,REVERSION,0.211,0.6667,-0.1112,UNCERTAIN,,UNCERTAIN,INSUFFICIENT_CANDLES,,,False,1.4085,0.4085,0.002,0.4065,EXCLUDED_BY_PRICE,,"{'C0': False, 'CT': False, 'CS': False, 'CS_short': False, 'C1': False, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,PRICE_FILTER,0.00200007,0.40649992999999995,0.001000035,1.000035,1.4085,0.40746496500000007,True,True,False
