opportunity_id,net_pnl,reproduced_net_pnl,new_net_pnl,sign_changed
2729464_2026-06-30T11:25:34.916740+00:00,-1.002,-1.002,-1.0,False
2729491_2026-06-30T11:40:34.883223+00:00,2.3313,2.33130002,2.33331,False
2729607_2026-06-30T11:55:34.320773+00:00,-1.002,-1.002000016,-1.0000079999999998,False
2729858_2026-06-30T12:10:35.281511+00:00,-1.002,-1.0020000002,-1.0000000999999998,False
2729890_2026-06-30T12:25:35.096042+00:00,-1.002,-1.002,-1.0,False
2730031_2026-06-30T12:55:00.654702+00:00,-1.002,-1.0020000008,-1.0000004,False
2730622_2026-06-30T14:40:18.495187+00:00,-1.002,-1.002,-1.0,False
2730735_2026-06-30T14:55:19.104008+00:00,-1.002,-1.002,-1.0,False
2730847_2026-06-30T15:10:18.255790+00:00,-1.002,-1.002000012,-1.0000060000000002,False
2732119_2026-06-30T16:25:22.808314+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2733703_2026-06-30T18:40:21.888660+00:00,-1.002,-1.001999998,-0.999999,False
2734302_2026-06-30T19:10:23.085173+00:00,-1.002,-1.00199998,-0.9999899999999999,False
2734393_2026-06-30T19:25:23.550867+00:00,2.8442,2.844199976,2.8461879999999997,False
2735358_2026-06-30T20:25:23.413573+00:00,-1.002,-1.002,-1.0,False
2735405_2026-06-30T20:40:23.460546+00:00,-1.002,-1.00200002,-1.0000099999999998,False
2735630_2026-06-30T21:10:22.457816+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2735690_2026-06-30T21:25:23.946634+00:00,7.3313,7.331300008,7.333304,False
2736105_2026-06-30T22:25:22.667434+00:00,-1.002,-1.002000016,-1.000008,False
2736143_2026-06-30T22:40:23.743935+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2736210_2026-06-30T22:55:24.123342+00:00,4.2612,4.261199984,4.263192,False
2737182_2026-06-30T23:40:23.990463+00:00,-1.002,-1.00200002,-1.0000099999999998,False
2737933_2026-07-01T01:55:34.877126+00:00,-1.002,-1.001999998,-0.999999,False
2737978_2026-07-01T02:10:34.897683+00:00,1.8551,1.85510003,1.857115,False
2738111_2026-07-01T02:55:34.365052+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2738157_2026-07-01T03:10:36.526383+00:00,-1.002,-1.00200001,-1.0000049999999998,False
2738193_2026-07-01T03:25:36.405309+00:00,-1.002,-1.001999998,-0.999999,False
2738782_2026-07-01T04:10:34.377049+00:00,-1.002,-1.002,-1.0,False
2739066_2026-07-01T04:55:34.598761+00:00,-1.002,-1.002,-1.0,False
2739503_2026-07-01T05:10:36.602104+00:00,-1.002,-1.002000012,-1.0000060000000002,False
2739537_2026-07-01T05:25:36.592889+00:00,-1.002,-1.002,-1.0,False
2739692_2026-07-01T05:55:35.887852+00:00,-1.002,-1.002,-1.0,False
2739722_2026-07-01T06:10:34.415182+00:00,-1.002,-1.002,-1.0,False
2739755_2026-07-01T06:25:35.872041+00:00,-1.002,-1.0020000008,-1.0000004,False
2739782_2026-07-01T06:40:36.598732+00:00,-1.002,-1.0019999968,-0.9999984000000001,False
2740295_2026-07-01T07:10:36.348803+00:00,-1.002,-1.002,-1.0,False
2740364_2026-07-01T07:40:34.861360+00:00,-1.002,-1.001999988,-0.9999940000000002,False
2740508_2026-07-01T08:10:34.858134+00:00,-1.002,-1.002000014,-1.0000069999999999,False
2740558_2026-07-01T08:25:34.892044+00:00,-1.002,-1.001999992,-0.9999959999999999,False
2740748_2026-07-01T09:25:35.429858+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2740774_2026-07-01T09:40:34.932676+00:00,-1.002,-1.002000016,-1.000008,False
2741267_2026-07-01T10:25:36.458018+00:00,-1.002,-1.002,-1.0,False
2741338_2026-07-01T10:40:34.357132+00:00,-1.002,-1.002000016,-1.0000079999999998,False
2742727_2026-07-01T11:40:35.060699+00:00,-1.002,-1.00200002,-1.0000099999999998,False
2742802_2026-07-01T11:55:34.729132+00:00,-1.002,-1.002,-1.0,False
2743274_2026-07-01T12:10:36.130489+00:00,-1.002,-1.001999984,-0.9999920000000001,False
2743348_2026-07-01T12:40:35.319101+00:00,-1.002,-1.002,-1.0,False
2743819_2026-07-01T14:25:34.871227+00:00,-1.002,-1.002,-1.0,False
2743860_2026-07-01T14:40:34.895885+00:00,-1.002,-1.002000012,-1.0000060000000002,False
2744111_2026-07-01T15:40:36.436723+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2744173_2026-07-01T15:55:35.333907+00:00,-1.002,-1.002,-1.0,False
2744556_2026-07-01T16:25:34.926549+00:00,11.498,11.498,11.5,False
2744625_2026-07-01T16:40:42.387365+00:00,-1.002,-1.002,-1.0,False
2745499_2026-07-01T17:10:35.525539+00:00,-1.002,-1.002000016,-1.000008,False
2745794_2026-07-01T18:10:35.241683+00:00,-1.002,-1.002,-1.0,False
2746302_2026-07-01T18:55:35.960383+00:00,-1.002,-1.002000012,-1.0000060000000002,False
2746688_2026-07-01T19:25:35.736772+00:00,-1.002,-1.001999998,-0.999999,False
2746789_2026-07-01T19:55:36.036541+00:00,-1.002,-1.002,-1.0,False
2746844_2026-07-01T20:10:35.666366+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2747453_2026-07-01T21:25:35.391679+00:00,5.248,5.248,5.25,False
2747863_2026-07-01T22:40:34.414969+00:00,-1.002,-1.001999998,-0.9999990000000001,False
