opportunity_id,market_id,is_c0,is_ct,decision_at,reason,detail
2670465_2026-06-25T17:40:04.795295+00:00,2670465,False,False,2026-06-25T17:40:04.795295+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2670692_2026-06-25T17:55:02.857568+00:00,2670692,False,False,2026-06-25T17:55:02.857568+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2671085_2026-06-25T18:10:02.857123+00:00,2671085,False,False,2026-06-25T18:10:02.857123+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2671470_2026-06-25T18:25:13.860923+00:00,2671470,False,False,2026-06-25T18:25:13.860923+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2671493_2026-06-25T18:40:13.860961+00:00,2671493,False,False,2026-06-25T18:40:13.860961+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2671652_2026-06-25T18:55:13.860257+00:00,2671652,False,False,2026-06-25T18:55:13.860257+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2672069_2026-06-25T19:10:13.861167+00:00,2672069,False,False,2026-06-25T19:10:13.861167+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2672136_2026-06-25T19:25:13.860927+00:00,2672136,False,False,2026-06-25T19:25:13.860927+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2672239_2026-06-25T19:40:13.860754+00:00,2672239,False,False,2026-06-25T19:40:13.860754+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2672589_2026-06-25T19:55:13.859123+00:00,2672589,False,False,2026-06-25T19:55:13.859123+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2672705_2026-06-25T20:10:13.861008+00:00,2672705,False,False,2026-06-25T20:10:13.861008+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2672993_2026-06-25T20:25:13.860889+00:00,2672993,False,False,2026-06-25T20:25:13.860889+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2673328_2026-06-25T20:40:13.861086+00:00,2673328,False,False,2026-06-25T20:40:13.861086+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2673533_2026-06-25T20:55:53.860959+00:00,2673533,False,False,2026-06-25T20:55:53.860959+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2673568_2026-06-25T21:10:13.860330+00:00,2673568,False,False,2026-06-25T21:10:13.860330+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2673658_2026-06-25T21:25:13.861036+00:00,2673658,False,False,2026-06-25T21:25:13.861036+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2673685_2026-06-25T21:40:03.861078+00:00,2673685,False,False,2026-06-25T21:40:03.861078+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2673811_2026-06-25T21:55:03.860917+00:00,2673811,False,False,2026-06-25T21:55:03.860917+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2674062_2026-06-25T22:10:03.861021+00:00,2674062,False,False,2026-06-25T22:10:03.861021+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2674218_2026-06-25T22:25:03.860996+00:00,2674218,False,False,2026-06-25T22:25:03.860996+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2674254_2026-06-25T22:40:03.860977+00:00,2674254,False,False,2026-06-25T22:40:03.860977+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2674489_2026-06-25T22:55:03.860027+00:00,2674489,False,False,2026-06-25T22:55:03.860027+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2676024_2026-06-25T23:10:03.863382+00:00,2676024,False,False,2026-06-25T23:10:03.863382+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2676065_2026-06-25T23:25:03.861067+00:00,2676065,False,False,2026-06-25T23:25:03.861067+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2676093_2026-06-25T23:40:03.860966+00:00,2676093,False,False,2026-06-25T23:40:03.860966+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2676221_2026-06-25T23:55:03.861017+00:00,2676221,False,False,2026-06-25T23:55:03.861017+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
2676253_2026-06-26T00:10:03.861162+00:00,2676253,False,False,2026-06-26T00:10:03.861162+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
