opportunity_id,market_id,asset,calendar_date,decision_at,time_left_min,executable_ask,diagnostic_mid,diagnostic_half_spread,diagnostic_spread_cost,shares,target,gross_pnl,net_pnl,reproduced_net_pnl,historical_fee,historical_net_pnl,scenario_id,scenario_fee,scenario_net_pnl,sign_changed
2729464_2026-06-30T11:25:34.916740+00:00,2729464,BTC,2026-06-30,2026-06-30T11:25:34.916740+00:00,4.42,0.01,0.006500000000000001,0.0034999999999999996,0.35,100.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2729491_2026-06-30T11:40:34.883223+00:00,2729491,BTC,2026-06-30,2026-06-30T11:40:34.883223+00:00,4.42,0.3,0.295,0.0050000000000000044,0.016666500000000015,3.3333,1,2.3333,2.3313,2.33131002,,,0.1% Demonstration Scenario,0.001,2.33231,False
2729607_2026-06-30T11:55:34.320773+00:00,2729607,BTC,2026-06-30,2026-06-30T11:55:34.320773+00:00,4.43,0.24,0.235,0.0050000000000000044,0.020833500000000015,4.1667,0,-1.0,-1.002,-1.0020080159999998,,,0.1% Demonstration Scenario,0.001,-1.0010079999999997,False
2729858_2026-06-30T12:10:35.281511+00:00,2729858,BTC,2026-06-30,2026-06-30T12:10:35.281511+00:00,4.41,0.011,0.010499999999999999,0.0005000000000000004,0.04545455000000004,90.9091,0,-1.0,-1.002,-1.0020001001999999,,,0.1% Demonstration Scenario,0.001,-1.0010000999999997,False
2729890_2026-06-30T12:25:35.096042+00:00,2729890,BTC,2026-06-30,2026-06-30T12:25:35.096042+00:00,4.42,0.02,0.015,0.005000000000000001,0.25000000000000006,50.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2730031_2026-06-30T12:55:00.654702+00:00,2730031,BTC,2026-06-30,2026-06-30T12:55:00.654702+00:00,4.99,0.019,0.0155,0.0034999999999999996,0.18421059999999997,52.6316,0,-1.0,-1.002,-1.0020004008,,,0.1% Demonstration Scenario,0.001,-1.0010004,False
2730622_2026-06-30T14:40:18.495187+00:00,2730622,BTC,2026-06-30,2026-06-30T14:40:18.495187+00:00,4.69,0.02,0.015,0.005000000000000001,0.25000000000000006,50.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2730735_2026-06-30T14:55:19.104008+00:00,2730735,BTC,2026-06-30,2026-06-30T14:55:19.104008+00:00,4.68,0.01,0.006,0.004,0.4,100.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2730847_2026-06-30T15:10:18.255790+00:00,2730847,BTC,2026-06-30,2026-06-30T15:10:18.255790+00:00,4.7,0.14,0.135,0.0050000000000000044,0.03571450000000003,7.1429,0,-1.0,-1.002,-1.0020060120000003,,,0.1% Demonstration Scenario,0.001,-1.001006,False
2732119_2026-06-30T16:25:22.808314+00:00,2732119,BTC,2026-06-30,2026-06-30T16:25:22.808314+00:00,4.62,0.07,0.065,0.0050000000000000044,0.07142850000000006,14.2857,0,-1.0,-1.002,-1.0019989980000001,,,0.1% Demonstration Scenario,0.001,-1.000999,False
2733703_2026-06-30T18:40:21.888660+00:00,2733703,BTC,2026-06-30,2026-06-30T18:40:21.888660+00:00,4.64,0.03,0.025,0.0049999999999999975,0.1666664999999999,33.3333,0,-1.0,-1.002,-1.001998998,,,0.1% Demonstration Scenario,0.001,-1.000999,False
2734302_2026-06-30T19:10:23.085173+00:00,2734302,BTC,2026-06-30,2026-06-30T19:10:23.085173+00:00,4.62,0.3,0.295,0.0050000000000000044,0.016666500000000015,3.3333,0,-1.0,-1.002,-1.0019899799999998,,,0.1% Demonstration Scenario,0.001,-1.0009899999999998,False
2734393_2026-06-30T19:25:23.550867+00:00,2734393,BTC,2026-06-30,2026-06-30T19:25:23.550867+00:00,4.61,0.26,0.255,0.0050000000000000044,0.01923100000000002,3.8462,1,2.8462,2.8442,2.8441879759999997,,,0.1% Demonstration Scenario,0.001,2.845188,False
2735358_2026-06-30T20:25:23.413573+00:00,2735358,BTC,2026-06-30,2026-06-30T20:25:23.413573+00:00,4.61,0.02,0.0155,0.0045000000000000005,0.22500000000000003,50.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2735405_2026-06-30T20:40:23.460546+00:00,2735405,BTC,2026-06-30,2026-06-30T20:40:23.460546+00:00,4.61,0.22,0.215,0.0050000000000000044,0.02272750000000002,4.5455,0,-1.0,-1.002,-1.00201002,,,0.1% Demonstration Scenario,0.001,-1.0010099999999997,False
2735630_2026-06-30T21:10:22.457816+00:00,2735630,BTC,2026-06-30,2026-06-30T21:10:22.457816+00:00,4.63,0.07,0.065,0.0050000000000000044,0.07142850000000006,14.2857,0,-1.0,-1.002,-1.0019989980000001,,,0.1% Demonstration Scenario,0.001,-1.000999,False
2735690_2026-06-30T21:25:23.946634+00:00,2735690,BTC,2026-06-30,2026-06-30T21:25:23.946634+00:00,4.6,0.12,0.11499999999999999,0.0050000000000000044,0.04166650000000004,8.3333,1,7.3333,7.3313,7.331304008,,,0.1% Demonstration Scenario,0.001,7.332304,False
2736105_2026-06-30T22:25:22.667434+00:00,2736105,BTC,2026-06-30,2026-06-30T22:25:22.667434+00:00,4.62,0.17,0.165,0.0050000000000000044,0.029412000000000025,5.8824,0,-1.0,-1.002,-1.002008016,,,0.1% Demonstration Scenario,0.001,-1.001008,False
2736143_2026-06-30T22:40:23.743935+00:00,2736143,BTC,2026-06-30,2026-06-30T22:40:23.743935+00:00,4.6,0.13,0.125,0.0050000000000000044,0.03846150000000004,7.6923,0,-1.0,-1.002,-1.0019989980000001,,,0.1% Demonstration Scenario,0.001,-1.000999,False
2736210_2026-06-30T22:55:24.123342+00:00,2736210,BTC,2026-06-30,2026-06-30T22:55:24.123342+00:00,4.6,0.19,0.185,0.0050000000000000044,0.026316000000000023,5.2632,1,4.2632,4.2612,4.261191984,,,0.1% Demonstration Scenario,0.001,4.262192,False
2737182_2026-06-30T23:40:23.990463+00:00,2737182,BTC,2026-06-30,2026-06-30T23:40:23.990463+00:00,4.6,0.22,0.215,0.0050000000000000044,0.02272750000000002,4.5455,0,-1.0,-1.002,-1.00201002,,,0.1% Demonstration Scenario,0.001,-1.0010099999999997,False
2737933_2026-07-01T01:55:34.877126+00:00,2737933,BTC,2026-07-01,2026-07-01T01:55:34.877126+00:00,4.42,0.21,0.20500000000000002,0.004999999999999977,0.023809499999999886,4.7619,0,-1.0,-1.002,-1.001998998,,,0.1% Demonstration Scenario,0.001,-1.000999,False
2737978_2026-07-01T02:10:34.897683+00:00,2737978,BTC,2026-07-01,2026-07-01T02:10:34.897683+00:00,4.42,0.35,0.345,0.0050000000000000044,0.014285500000000012,2.8571,1,1.8571,1.8551,1.85511503,,,0.1% Demonstration Scenario,0.001,1.8561150000000002,False
2738111_2026-07-01T02:55:34.365052+00:00,2738111,BTC,2026-07-01,2026-07-01T02:55:34.365052+00:00,4.43,0.33,0.325,0.0050000000000000044,0.015151500000000014,3.0303,0,-1.0,-1.002,-1.0019989980000001,,,0.1% Demonstration Scenario,0.001,-1.000999,False
