opportunity_id,market_id,is_c0,is_ct,mode,gateway,decision_at,request_created_at,latency_delta_sec,decision_ask,hypothetical_shares,hypothetical_net_pnl,target,filled_shares,purchase_cash,vwap,fee_usdc,fill_count,slippage_per_share,slippage_cash,actual_net_pnl,is_ambiguous
3142638_2026-07-29T01:40:44.704850+00:00,3142638,True,True,PAPER,FAKE,2026-07-29T01:40:44.704850+00:00,2026-07-29T01:40:42.933759+00:00,-1.771,0.17,5.8824,-1.002,0,5.882352941176471,1.0,0.17,0.0,1,0.0,0.0,-1.0,False
3144990_2026-07-29T02:55:43.935794+00:00,3144990,True,False,PAPER,FAKE,2026-07-29T02:55:43.935794+00:00,2026-07-29T02:56:47.880654+00:00,63.945,0.06,16.6667,-1.002,0,10.0,1.0,0.1,0.0,1,0.04000000000000001,0.4000000000000001,-1.0,False
3199500_2026-07-30T07:40:36.424004+00:00,3199500,True,False,PAPER,FAKE,2026-07-30T07:40:36.424004+00:00,2026-07-30T07:41:44.215818+00:00,67.792,0.38,2.6316,-1.002,0,8.0,1.0,0.125,0.0,1,-0.255,-2.04,-1.0,False
3219530_2026-07-31T08:25:29.941253+00:00,3219530,True,False,PAPER,FAKE,2026-07-31T08:25:29.941253+00:00,2026-07-31T08:26:54.364594+00:00,84.423,0.07,14.2857,13.2837,1,7.142857142857143,1.0,0.14,0.0,1,0.07,0.5000000000000001,6.142857142857143,False
3239426_2026-08-01T11:40:59.950342+00:00,3239426,True,False,PAPER,FAKE,2026-08-01T11:40:59.950342+00:00,2026-08-01T11:41:42.953550+00:00,43.003,0.18,5.5556,-1.002,0,5.555555555555555,0.9999999999999999,0.18,0.0,1,0.0,0.0,-0.9999999999999999,False
3240394_2026-08-01T13:10:15.328403+00:00,3240394,True,True,PAPER,FAKE,2026-08-01T13:10:15.328403+00:00,2026-08-01T13:10:52.284437+00:00,36.956,0.28,3.5714,-1.002,0,4.0,1.0,0.25,0.0,1,-0.030000000000000027,-0.1200000000000001,-1.0,False
3418150_2026-08-09T11:25:13.160490+00:00,3418150,True,True,PAPER,FAKE,2026-08-09T11:25:13.160490+00:00,2026-08-09T11:26:14.179036+00:00,61.019,0.37,2.7027,-1.002,0,3.4482758620689653,0.9999999999999999,0.29,0.0,1,-0.08000000000000002,-0.2758620689655173,-0.9999999999999999,False
3418901_2026-08-09T12:40:05.609481+00:00,3418901,True,True,PAPER,FAKE,2026-08-09T12:40:05.609481+00:00,2026-08-09T12:40:40.884524+00:00,35.275,0.23,4.3478,-1.002,0,4.3478260869565215,1.0,0.23,0.0,1,0.0,0.0,-1.0,False
3421144_2026-08-09T15:40:01.345279+00:00,3421144,False,False,PAPER,FAKE,2026-08-09T15:40:01.345279+00:00,2026-08-09T15:40:11.322901+00:00,9.978,0.8,1.25,-1.002,0,1.2987012987012987,1.0,0.77,0.0,1,-0.030000000000000027,-0.038961038961038995,-1.0,False
3473441_2026-08-11T02:10:30.423457+00:00,3473441,False,False,PAPER,FAKE,2026-08-11T02:10:30.423457+00:00,2026-08-11T02:12:05.231937+00:00,94.808,0.7,1.4286,-1.002,0,1.2658227848101267,1.0,0.79,0.0,1,0.09000000000000008,0.1139240506329115,-1.0,False
3473817_2026-08-11T02:55:25.662804+00:00,3473817,False,False,PAPER,FAKE,2026-08-11T02:55:25.662804+00:00,2026-08-11T02:56:51.721405+00:00,86.059,0.72,1.3889,0.3869,1,1.25,1.0,0.8,0.0,1,0.08000000000000007,0.10000000000000009,0.25,False
3474045_2026-08-11T03:40:21.975295+00:00,3474045,False,False,PAPER,FAKE,2026-08-11T03:40:21.975295+00:00,2026-08-11T03:42:21.647680+00:00,119.672,0.92,1.087,-1.002,0,1.2658227848101267,1.0,0.79,0.0,1,-0.13,-0.16455696202531647,-1.0,False
