asset,status,pnl,strategy_type,amount_usdc,executed_price,outcome_bought
BTC,SUCCESS,0.007049345417925457,time_left_min,1,0.993,NO
ETH,SUCCESS,0.006036217303822866,time_left_min,1,0.994,NO
BTC,SUCCESS,1.380952380952381,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.42,YES
ETH,SUCCESS,0.5384615384615383,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.65,NO
ETH,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.47,NO
BTC,SUCCESS,1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.5,NO
ETH,SUCCESS,0.23456790123456783,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.81,NO
BTC,SUCCESS,0.19047619047619047,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.84,NO
ETH,SUCCESS,0.26582278481012644,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.79,NO
BTC,SUCCESS,0.030927835051546504,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.97,NO
ETH,SUCCESS,0.04166666666666674,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.96,YES
BTC,SUCCESS,0.030927835051546504,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.97,YES
BTC,SUCCESS,0.5384615384615383,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.65,NO
ETH,SUCCESS,0.639344262295082,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.61,NO
BTC,SUCCESS,0.3157894736842106,"time_left_min,mid_price,price_velocity,hour_of_day",1,0.76,NO
ETH,SUCCESS,0.5384615384615383,"time_left_min,mid_price,price_velocity,hour_of_day",1,0.65,YES
BTC,SUCCESS,0.5625,"time_left_min,mid_price,price_velocity,hour_of_day",1,0.64,YES
ETH,SUCCESS,0.20481927710843384,"time_left_min,mid_price,price_velocity,hour_of_day",1,0.83,YES
BTC,SUCCESS,0.17647058823529416,"time_left_min,mid_price,price_velocity,hour_of_day",1,0.85,NO
ETH,SUCCESS,-1,"time_left_min,mid_price,price_velocity,hour_of_day",1,0.63,YES
ETH,SUCCESS,0.36986301369863006,"time_left_min,mid_price,price_velocity,hour_of_day",1,0.73,NO
BTC,SUCCESS,0.19047619047619047,"time_left_min,mid_price,price_velocity,hour_of_day",1,0.84,NO
ETH,SUCCESS,0.33333333333333326,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.75,NO
BTC,SUCCESS,0.3157894736842106,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.76,NO
ETH,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.63,NO
BTC,SUCCESS,0.3157894736842106,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.76,NO
ETH,SUCCESS,1.127659574468085,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.47,YES
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.43,YES
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.6,YES
ETH,SUCCESS,0.36986301369863006,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.73,NO
SOL,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.53,NO
SOL,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.1,YES
XRP,SUCCESS,1.5,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.4,YES
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.68,YES
BTC,SUCCESS,0.28125,"time_left_min,mid_price,spread,price_velocity,hour_of_day",0.5,0.64,NO
XRP,SUCCESS,0.2142857142857143,"time_left_min,mid_price,spread,price_velocity,hour_of_day",0.5,0.7,NO
ETH,SUCCESS,2.3478260869565215,"time_left_min,mid_price,spread,price_velocity,hour_of_day",2,0.46,NO
XRP,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.79,NO
ETH,SUCCESS,0.2987012987012987,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.77,YES
DOGE,SUCCESS,0.4492753623188408,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.69,NO
SOL,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.5,YES
SOL,SUCCESS,0.639344262295082,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.61,NO
DOGE,SUCCESS,0.5384615384615383,PURE_FAVORITE,1,0.65,NO
SOL,SUCCESS,0.38888888888888884,PURE_FAVORITE,1,0.72,NO
ETH,SUCCESS,-1,PURE_FAVORITE,1,0.85,YES
ETH,SUCCESS,0.5151515151515151,PURE_FAVORITE,1,0.66,NO
BTC,SUCCESS,0.19047619047619047,PURE_FAVORITE,1,0.84,NO
ETH,SUCCESS,0.2987012987012987,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.77,YES
BTC,SUCCESS,0.17647058823529416,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.85,YES
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.41,YES
ETH,SUCCESS,0.5384615384615383,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.65,NO
ETH,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.85,YES
ETH,SUCCESS,0.3157894736842106,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.76,YES
BTC,SUCCESS,0.8867924528301885,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.53,YES
