feature,group,source
F,price_returns,blob
alternation_rate_6,price_returns,blob
bb_position,price_returns,blob
bb_width,price_returns,blob
body_to_range,price_returns,blob
consec_balance,price_returns,blob
consec_down,price_returns,blob
consec_up,price_returns,blob
consecutive_down,price_returns,blob
consecutive_up,price_returns,blob
cvd_1,price_returns,blob
cvd_6,price_returns,blob
cvd_trend,price_returns,blob
day_of_week,price_returns,blob
dev_sq_x_phase,price_returns,blob
deviation_x_time,price_returns,blob
direction_lag_1,price_returns,blob
direction_lag_2,price_returns,blob
direction_lag_3,price_returns,blob
dist_to_high_24,price_returns,blob
dist_to_high_96,price_returns,blob
dist_to_low_24,price_returns,blob
dist_to_low_96,price_returns,blob
dow,price_returns,blob
dow_cos,price_returns,blob
dow_sin,price_returns,blob
ema_ratio_9_21,price_returns,blob
funding_extreme,price_returns,blob
funding_rate,price_returns,blob
funding_rate_ma3,price_returns,blob
high_price_final,price_returns,blob
hour_cos,price_returns,blob
hour_of_day,price_returns,blob
hour_sin,price_returns,blob
hour_utc,price_returns,blob
is_final_phase,price_returns,blob
log_moneyness,price_returns,blob
log_time_left,price_returns,blob
mid_price,price_returns,blob
pm_best_ask,price_returns,blob
pm_best_bid,price_returns,blob
pm_momentum_5m,price_returns,blob
pm_quote_pressure,price_returns,blob
pm_spread_pct,price_returns,blob
pm_volume_5m,price_returns,blob
price_deviation,price_returns,blob
price_deviation_sq,price_returns,blob
price_distance_from_max,price_returns,blob
price_momentum,price_returns,blob
price_velocity,price_returns,blob
price_velocity_lag1,price_returns,blob
range_1,price_returns,blob
range_avg_24,price_returns,blob
ret_1,price_returns,blob
ret_12,price_returns,blob
ret_24,price_returns,blob
ret_3,price_returns,blob
ret_48,price_returns,blob
ret_6,price_returns,blob
rsi_14,price_returns,blob
signed_body_pct,price_returns,blob
signed_trend_efficiency_6,price_returns,blob
spread,price_returns,blob
spread_pct,price_returns,blob
spread_trend,price_returns,blob
strike_gap_pct,price_returns,blob
taker_buy_ratio,price_returns,blob
time_left_min,price_returns,blob
time_phase,price_returns,blob
up_ratio_4,price_returns,blob
velocity_x_phase,price_returns,blob
vol_24,price_returns,blob
vol_48,price_returns,blob
vol_6,price_returns,blob
vol_ratio,price_returns,blob
vol_trend,price_returns,blob
vol_z_1,price_returns,blob
vol_z_6,price_returns,blob
volume_5min,price_returns,blob
volume_trend,price_returns,blob
