id,asset,version,model_type,is_active,trained_at,activated_at,interval,model_regime,n_features_schema,n_features_blob,schema_check,threshold_up,threshold_down,quality_gate_passed,target_class,target_proof,native_horizon,blob_sha256,blob_bytes,blob_deserializes,blob_type,zeros_predict_ok,nan_predict_ok,train_samples,accuracy,dataset_fingerprint,features
1,BTC,1,logreg,False,2026-06-26 03:58:59.348595+00,,15m,,0,5,NO_SCHEMA,,,,UNKNOWN_TARGET,empty_schema_no_manifest,none,dd27e8871c81c3c5aa5980890bc347daac81c46957f29ca2b98c6437a7d2e902,910,True,sklearn.linear_model._logistic.LogisticRegression,True,0,,0.532448377581121,,
2,ETH,1,logreg,False,2026-06-26 03:59:00.141431+00,,15m,,0,5,NO_SCHEMA,,,,UNKNOWN_TARGET,empty_schema_no_manifest,none,3bc19a9a5e1c3d71ea5a91a6cca01c5830283b5d7f00c1134e3ca19c6202cad3,910,True,sklearn.linear_model._logistic.LogisticRegression,True,0,,0.5496051332675223,,
3,BTC,2,logreg,False,2026-06-26 04:04:54.69711+00,,15m,,0,5,NO_SCHEMA,,,,UNKNOWN_TARGET,empty_schema_no_manifest,none,76eba6e2ec422a0635be61336958f3ff91f62e3db1d398c75ee5c5c131621e7e,910,True,sklearn.linear_model._logistic.LogisticRegression,True,0,,0.5206394655213553,,
4,ETH,2,logreg,False,2026-06-26 04:04:55.462431+00,,15m,,0,5,NO_SCHEMA,,,,UNKNOWN_TARGET,empty_schema_no_manifest,none,3bc19a9a5e1c3d71ea5a91a6cca01c5830283b5d7f00c1134e3ca19c6202cad3,910,True,sklearn.linear_model._logistic.LogisticRegression,True,0,,0.5496051332675223,,
5,BTC,3,logreg,False,2026-06-26 04:15:24.36223+00,,15m,,0,5,NO_SCHEMA,,,,UNKNOWN_TARGET,empty_schema_no_manifest,none,76eba6e2ec422a0635be61336958f3ff91f62e3db1d398c75ee5c5c131621e7e,910,True,sklearn.linear_model._logistic.LogisticRegression,True,0,,0.5206394655213553,,
6,ETH,3,logreg,False,2026-06-26 04:15:25.117364+00,,15m,,0,5,NO_SCHEMA,,,,UNKNOWN_TARGET,empty_schema_no_manifest,none,e1e7d967936192bdf294ff24bc46d7562dd8353f0a275c1a471243b79e46f43f,910,True,sklearn.linear_model._logistic.LogisticRegression,True,0,,0.5521032504780115,,
7,BTC,4,logreg,False,2026-06-26 06:24:10.676682+00,,15m,,0,5,NO_SCHEMA,,,,UNKNOWN_TARGET,empty_schema_no_manifest,none,1e813ef10ed770f25713480e9464ca271ef63e201aa941f4cc0a874cd5d0d272,910,True,sklearn.linear_model._logistic.LogisticRegression,True,0,,0.5583145221971407,,
8,ETH,4,logreg,False,2026-06-26 06:24:11.859042+00,,15m,,0,5,NO_SCHEMA,,,,UNKNOWN_TARGET,empty_schema_no_manifest,none,bc7dba4426042bd8218e1e27ff9859638b1d1596a1d6696bfdfadbf4c8ca70db,910,True,sklearn.linear_model._logistic.LogisticRegression,True,0,,0.5848273259105492,,
9,BTC,5,logreg,False,2026-06-26 06:35:06.344746+00,,15m,,0,4,NO_SCHEMA,,,,UNKNOWN_TARGET,empty_schema_no_manifest,none,7b43138705b825857ebb9651a26978169ff112507d2723d4582fb3b8737f4926,888,True,sklearn.linear_model._logistic.LogisticRegression,True,0,,0.5018811136192626,,
10,ETH,5,logreg,False,2026-06-26 06:35:07.376751+00,,15m,,0,4,NO_SCHEMA,,,,UNKNOWN_TARGET,empty_schema_no_manifest,none,0a9dfb58c867f1522b5421fae32aa17e0cbac875a490808c0e285a598bab2cca,888,True,sklearn.linear_model._logistic.LogisticRegression,True,0,,0.5351953198716739,,
