k,v,registry_id,model_type,target_class,target_proof,mapped,missing_artifact,era,n,mn,mx
BTCUSDT_high_vol,28,504.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,transition,8529,2026-08-03 14:07:36.717364+00,2026-08-09 15:21:10.620558+00
BTCUSDT_high_vol,30,698.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,1432,2026-08-12 03:00:08.864643+00,2026-08-13 13:13:50.107446+00
BTCUSDT_high_vol,31,701.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,11566,2026-08-20 23:15:05.683106+00,2026-09-09 16:50:43.763554+00
BTCUSDT_high_vol,34,746.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,2234,2026-08-13 14:00:01.982678+00,2026-08-15 10:43:38.572882+00
BTCUSDT_high_vol,36,806.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,2449,2026-08-17 16:13:07.278283+00,2026-08-20 16:13:50.81126+00
BTCUSDT_low_vol,29,502.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,pre_guard,23131,2026-08-03 16:40:33.275251+00,2026-08-09 13:50:24.947722+00
BTCUSDT_low_vol,31,696.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,492,2026-08-12 00:00:14.104863+00,2026-08-13 03:28:48.831289+00
BTCUSDT_low_vol,35,744.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,40,2026-08-15 10:45:09.354186+00,2026-08-15 10:54:54.342809+00
BTCUSDT_low_vol,37,804.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,5107,2026-08-17 20:45:03.767233+00,2026-09-08 18:35:20.768628+00
BTCUSDT_mid_vol,22,477.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,pre_guard,505,2026-08-03 12:36:07.558676+00,2026-08-03 14:07:27.421115+00
BTCUSDT_mid_vol,24,518.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,transition,16441,2026-08-03 21:03:00.532563+00,2026-08-09 14:30:55.588007+00
BTCUSDT_mid_vol,25,697.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,1478,2026-08-12 00:45:12.50463+00,2026-08-13 12:23:17.45644+00
BTCUSDT_mid_vol,29,745.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,4330,2026-08-13 13:45:03.881986+00,2026-08-19 02:52:04.430218+00
BTCUSDT_mid_vol,31,805.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,2005,2026-08-19 23:30:02.247903+00,2026-09-09 13:20:13.171871+00
DOGEUSDT_high_vol,13,500.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,pre_guard,2509,2026-08-03 14:22:45.699981+00,2026-08-05 04:48:30.136175+00
DOGEUSDT_high_vol,14,549.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,pre_guard,5337,2026-08-05 11:27:22.836172+00,2026-08-09 10:15:56.689843+00
DOGEUSDT_high_vol,17,722.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,461,2026-08-12 06:30:10.991659+00,2026-08-13 17:28:47.994154+00
DOGEUSDT_high_vol,20,785.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,1392,2026-08-13 17:30:03.211678+00,2026-08-15 04:58:00.103162+00
DOGEUSDT_low_vol,14,498.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,pre_guard,9560,2026-08-03 12:52:50.877903+00,2026-08-06 08:34:26.832492+00
DOGEUSDT_low_vol,15,547.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,pre_guard,11105,2026-08-06 11:19:33.882879+00,2026-08-09 13:20:09.940688+00
DOGEUSDT_low_vol,17,717.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,45,2026-08-12 00:30:16.105621+00,2026-08-12 00:43:07.981622+00
DOGEUSDT_low_vol,18,720.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,5575,2026-08-12 00:45:10.557445+00,2026-08-19 04:28:50.496125+00
DOGEUSDT_low_vol,25,816.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,26254,2026-08-19 05:15:09.806307+00,2026-09-13 05:28:50.522893+00
DOGEUSDT_mid_vol,13,489.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,pre_guard,175,2026-08-03 08:37:49.119996+00,2026-08-03 10:02:09.953969+00
DOGEUSDT_mid_vol,14,499.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,pre_guard,9286,2026-08-03 12:37:54.595014+00,2026-08-06 09:15:38.612328+00
