asset_phase,rank,variant,C,class_weight,sample_weight_mode,calibration,auc,ece,total_pnl,n_trades,win_rate,deployable,t1_pnl,t2_pnl,t3_pnl,median_window_pnl,rejection_reasons
BTC,1,BASE,0.1,,uniform,RAW,0.6449,0.0058,0.0,2760,0.4467,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC,2,BASE,0.1,,uniform,PLATT,0.6449,0.0058,0.0,2760,0.4467,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC,3,BASE,0.1,,time_decay,RAW,0.645,0.0114,0.0,2647,0.4326,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC,4,BASE,0.1,,time_decay,PLATT,0.645,0.0114,0.0,2647,0.4326,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC,5,BASE,0.1,balanced,uniform,RAW,0.6453,0.2478,0.0,3998,0.4055,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.2478 > 0.10)
BTC,6,BASE,0.1,balanced,uniform,PLATT,0.6453,0.2478,0.0,3998,0.4055,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.2478 > 0.10)
BTC,7,BASE,0.1,balanced,time_decay,RAW,0.6454,0.3213,0.0,4000,0.4052,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.3213 > 0.10)
BTC,8,BASE,0.1,balanced,time_decay,PLATT,0.6454,0.3213,0.0,4000,0.4052,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.3213 > 0.10)
BTC,9,BASE,1.0,,uniform,RAW,0.6449,0.0059,0.0,2759,0.4465,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC,10,BASE,1.0,,uniform,PLATT,0.6449,0.0059,0.0,2759,0.4465,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_decided,1,BASE,0.1,,uniform,RAW,0.616,0.0051,0.0,2896,0.7621,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_decided,2,BASE,0.1,,uniform,PLATT,0.616,0.0051,0.0,2896,0.7621,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_decided,3,BASE,0.1,,time_decay,RAW,0.6175,0.0079,0.0,2749,0.7377,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_decided,4,BASE,0.1,,time_decay,PLATT,0.6175,0.0079,0.0,2749,0.7377,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_decided,5,BASE,0.1,balanced,uniform,RAW,0.6187,0.3831,0.0,3899,0.1862,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.3831 > 0.10)
BTC_decided,6,BASE,0.1,balanced,uniform,PLATT,0.6187,0.3831,0.0,3899,0.1862,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.3831 > 0.10)
BTC_decided,7,BASE,0.1,balanced,time_decay,RAW,0.6203,0.4421,0.0,3899,0.1862,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.4421 > 0.10)
BTC_decided,8,BASE,0.1,balanced,time_decay,PLATT,0.6203,0.4421,0.0,3899,0.1862,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.4421 > 0.10)
BTC_decided,9,BASE,1.0,,uniform,RAW,0.6157,0.0051,0.0,2897,0.7615,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_decided,10,BASE,1.0,,uniform,PLATT,0.6157,0.0051,0.0,2897,0.7615,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_leaning,1,BASE,0.1,,uniform,RAW,0.5067,0.0055,0.0,1937,0.4966,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_leaning,2,BASE,0.1,,uniform,PLATT,0.5067,0.0055,0.0,1937,0.4966,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
