model_registry_id,status,retrospective_isotonic_allowed,missing_metadata,available_evidence,retrain_proposal
820,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
821,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
822,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
823,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
824,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
825,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
826,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
827,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
828,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
829,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
830,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
831,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
832,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
833,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
834,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
835,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
