feature,group,source,lookback,causality,epoch
alternation_rate_6,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
bb_position,trend,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
bb_width,trend,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
body_to_range,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
consec_balance,regime,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
consec_down,regime,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
consec_up,regime,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
consecutive_down,regime,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
consecutive_up,regime,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
cvd_1,volume_taker_flow,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
cvd_6,volume_taker_flow,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
cvd_trend,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
day_of_week,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
dev_sq_x_phase,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
deviation_x_time,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
direction_lag_1,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
direction_lag_2,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
direction_lag_3,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
dist_to_high_24,cross_asset_breadth,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
dist_to_high_96,cross_asset_breadth,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
dist_to_low_24,cross_asset_breadth,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
dist_to_low_96,cross_asset_breadth,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
dow,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
dow_cos,time,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
dow_sin,time,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
ema_ratio_9_21,trend,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
funding_extreme,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
funding_rate,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
funding_rate_ma3,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
high_price_final,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
hour_cos,time,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
hour_of_day,regime,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
hour_sin,time,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
hour_utc,regime,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
is_final_phase,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
log_moneyness,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
log_time_left,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
mid_price,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
pm_best_ask,polymarket_state,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
pm_best_bid,polymarket_state,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
pm_momentum_5m,polymarket_state,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
pm_quote_pressure,polymarket_state,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
pm_spread_pct,polymarket_state,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
pm_volume_5m,polymarket_state,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
price_deviation,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
price_deviation_sq,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
price_distance_from_max,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
price_momentum,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
price_velocity,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
price_velocity_lag1,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
range_1,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
range_avg_24,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
ret_1,price_returns,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
ret_12,price_returns,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
ret_24,price_returns,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
ret_3,price_returns,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
ret_48,price_returns,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
ret_6,price_returns,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
rsi_14,trend,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
signed_body_pct,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
signed_trend_efficiency_6,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
spread,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
spread_pct,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
spread_trend,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
strike_gap_pct,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
taker_buy_ratio,volume_taker_flow,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
time_left_min,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
time_phase,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
up_ratio_4,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
velocity_x_phase,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
vol_24,volatility,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
vol_48,volatility,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
vol_6,volatility,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
vol_ratio,volatility,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
vol_trend,volatility,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
vol_z_1,volatility,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
vol_z_6,volatility,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
volume_5min,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
volume_trend,sequence,blob:MODELINVENTORY+builder:CRYPTO_FEATURE_COLUMNS,lookback:6-24,causal:closed_candle,seq
