feature,fold,train_missing_pct,val_missing_pct,missing_shift_pp,nunique_train,nunique_val,constant,val_outside_train_iqr_pct,psi,flags,verdict
alternation_rate_6,F2,0.0,0.0,0.0,6,6,0,0.0,0.0005,,OK
bb_position,F2,0.0,0.0,0.0,5014,3204,0,0.0,0.0303,,OK
bb_width,F2,0.0,0.0,0.0,4991,3194,0,0.0,0.1533,,OK
body_to_range,F2,0.0,0.0,0.0,3872,2494,0,0.0,0.0106,,OK
consec_balance,F2,0.0,0.0,0.0,23,18,0,0.0,0.0134,,OK
consec_down,F2,0.0,0.0,0.0,10,11,0,0.597,0.0032,,OK
consec_up,F2,0.0,0.0,0.0,15,9,0,0.0,0.0166,,OK
consecutive_down,F2,0.0,0.0,0.0,9,8,0,0.259,0.0004,,OK
consecutive_up,F2,0.0,0.0,0.0,9,7,0,0.0,0.0056,,OK
cvd_1,F2,0.0,0.0,0.0,5016,3206,0,0.0,0.0088,,OK
cvd_6,F2,0.0,0.0,0.0,5016,3206,0,0.0,0.0112,,OK
cvd_trend,F2,0.0,0.0,0.0,5016,3206,0,6.303,0.0155,OUTLIER_HEAVY,WARN
day_of_week,F2,0.0,0.0,0.0,7,7,0,0.0,0.2322,,OK
dev_sq_x_phase,F2,100.0,0.499,99.501,0,400,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
deviation_x_time,F2,100.0,0.499,99.501,0,1,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
direction_lag_1,F2,0.0,0.0,0.0,3,3,0,0.0,0.0001,,OK
direction_lag_2,F2,0.0,0.0,0.0,3,3,0,0.0,0.0002,,OK
direction_lag_3,F2,0.0,0.0,0.0,3,3,0,0.0,0.0,,OK
dist_to_high_24,F2,0.0,0.0,0.0,4667,2960,0,0.0,0.0303,,OK
dist_to_high_96,F2,0.0,0.0,0.0,4356,2703,0,0.0,0.6299,DATA_DRIFT,WARN
dist_to_low_24,F2,0.0,0.0,0.0,4637,2959,0,0.0,0.1122,,OK
dist_to_low_96,F2,0.0,0.0,0.0,4285,2783,0,0.0,0.1631,,OK
dow,F2,0.0,0.0,0.0,7,7,0,0.0,0.2322,,OK
dow_cos,F2,0.0,0.0,0.0,7,7,0,0.0,0.2659,DATA_DRIFT,WARN
dow_sin,F2,0.0,0.0,0.0,7,7,0,0.0,0.2767,DATA_DRIFT,WARN
ema_ratio_9_21,F2,0.0,0.0,0.0,5016,3206,0,0.0,0.0614,,OK
funding_extreme,F2,100.0,100.0,0.0,0,0,0,0.0,,HUNDRED_PCT_MISSING_BLOCK,BLOCK
funding_rate,F2,100.0,100.0,0.0,0,0,0,0.0,,HUNDRED_PCT_MISSING_BLOCK,BLOCK
funding_rate_ma3,F2,100.0,100.0,0.0,0,0,0,0.0,,HUNDRED_PCT_MISSING_BLOCK,BLOCK
high_price_final,F2,100.0,0.499,99.501,0,400,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
hour_cos,F2,0.0,0.0,0.0,22,22,0,0.0,0.0139,,OK
hour_of_day,F2,0.0,0.0,0.0,24,24,0,0.0,0.021,,OK
hour_sin,F2,0.0,0.0,0.0,21,21,0,0.0,0.0191,,OK
hour_utc,F2,0.0,0.0,0.0,24,24,0,0.0,0.021,,OK
is_final_phase,F2,100.0,0.499,99.501,0,1,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
log_moneyness,F2,100.0,100.0,0.0,0,0,0,0.0,,HUNDRED_PCT_MISSING_BLOCK,BLOCK
log_time_left,F2,100.0,0.499,99.501,0,1,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
mid_price,F2,100.0,0.499,99.501,0,498,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
pm_best_ask,F2,100.0,0.499,99.501,0,237,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
pm_best_bid,F2,100.0,0.499,99.501,0,237,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
pm_momentum_5m,F2,100.0,0.499,99.501,0,836,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
pm_quote_pressure,F2,100.0,0.499,99.501,0,498,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
pm_spread_pct,F2,100.0,0.499,99.501,0,1669,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
pm_volume_5m,F2,100.0,0.499,99.501,0,1,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
price_deviation,F2,100.0,0.499,99.501,0,400,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
price_deviation_sq,F2,100.0,0.499,99.501,0,400,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
price_distance_from_max,F2,100.0,0.499,99.501,0,1009,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
price_momentum,F2,100.0,0.777,99.223,0,2107,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
price_velocity,F2,100.0,0.499,99.501,0,836,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
price_velocity_lag1,F2,100.0,0.499,99.501,0,734,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
range_1,F2,0.0,0.0,0.0,4914,3139,0,0.0,0.0403,,OK
range_avg_24,F2,0.0,0.0,0.0,5015,3206,0,0.0,0.2402,,OK
ret_1,F2,0.0,0.0,0.0,4818,3074,0,0.017,0.0093,,OK
ret_12,F2,0.0,0.0,0.0,4941,3158,0,0.0,0.0344,,OK
ret_24,F2,0.0,0.0,0.0,4952,3164,0,0.0,0.0561,,OK
ret_3,F2,0.0,0.0,0.0,4895,3131,0,0.0,0.0218,,OK
ret_48,F2,0.0,0.0,0.0,4976,3181,0,0.0,0.2515,DATA_DRIFT,WARN
ret_6,F2,0.0,0.0,0.0,4930,3124,0,0.0,0.0307,,OK
rsi_14,F2,0.0,0.0,0.0,4926,3165,0,0.0,0.0311,,OK
signed_body_pct,F2,0.0,0.0,0.0,4802,3065,0,0.017,0.0113,,OK
signed_trend_efficiency_6,F2,0.0,0.0,0.0,4838,3138,0,0.0,0.0142,,OK
spread,F2,100.0,0.499,99.501,0,184,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
spread_pct,F2,100.0,0.499,99.501,0,1669,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
spread_trend,F2,100.0,1.062,98.938,0,1066,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
strike_gap_pct,F2,100.0,100.0,0.0,0,0,0,0.0,,HUNDRED_PCT_MISSING_BLOCK,BLOCK
taker_buy_ratio,F2,0.0,0.0,0.0,5016,3206,0,0.0,0.0088,,OK
time_left_min,F2,100.0,0.499,99.501,0,1,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
time_phase,F2,100.0,0.499,99.501,0,1,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
up_ratio_4,F2,0.0,0.0,0.0,5,5,0,0.0,0.0113,,OK
velocity_x_phase,F2,100.0,0.499,99.501,0,836,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
vol_24,F2,0.0,0.0,0.0,5011,3201,0,0.0,0.1958,,OK
vol_48,F2,0.0,0.0,0.0,5014,3204,0,0.0,0.4526,DATA_DRIFT,WARN
vol_6,F2,0.0,0.0,0.0,5013,3200,0,0.0,0.0558,,OK
vol_ratio,F2,0.0,0.0,0.0,5016,3206,0,0.0,0.0371,,OK
vol_trend,F2,0.0,0.0,0.0,5016,3206,0,0.0,0.051,,OK
vol_z_1,F2,0.0,0.0,0.0,5016,3206,0,0.0,0.0124,,OK
vol_z_6,F2,0.0,0.0,0.0,5016,3206,0,0.0,0.0052,,OK
volume_5min,F2,100.0,0.499,99.501,0,1,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
volume_trend,F2,100.0,0.777,99.223,0,1,0,0.0,,MISSINGNESS_DRIFT,DATA_QUALITY_BLOCKED
alternation_rate_6,F3,0.0,0.0,0.0,6,6,0,0.0,0.0048,,OK
bb_position,F3,0.0,0.0,0.0,8218,2555,0,0.0,0.0108,,OK
bb_width,F3,0.0,0.0,0.0,8185,2549,0,0.0,0.076,,OK
