group,fold,n_val,pred_flip_rate,side_flip_rate,trades_all,trades_variant,delta_volume_trades,net_all_mean,net_variant_mean,delta_pnl,delta_logloss,delta_brier
cross_asset_breadth,F3,112073,0.30886118868951484,0.30886118868951484,91134,92056,922,-0.10622963115910775,-0.10065708920629622,0.005572541952811524,0.0007828289173367198,7.419464829200306e-05
cross_asset_breadth,F3,112073,0.5559233713740152,0.5559233713740152,91134,104683,13549,-0.10622963115910775,-0.16420996506012553,-0.05798033390101778,0.22535074451279014,0.09198880042530022
polymarket_state,F3,112073,0.2754097775557003,0.2754097775557003,91134,92192,1058,-0.10622963115910775,-0.10042809762657251,0.005801533532535236,-0.003009748088207642,-0.0014878817681671652
polymarket_state,F3,112073,0.5916233169452053,0.5916233169452053,91134,76094,-15040,-0.10622963115910775,-0.05412782901121927,0.052101802147888475,-0.04883636678135217,-0.018047937976841483
price_returns,F3,112073,0.29171165222667367,0.29171165222667367,91134,90338,-796,-0.10622963115910775,-0.08564230723505893,0.020587323924048814,-0.009709615310376174,-0.0034319759230510005
price_returns,F3,112073,0.5482498014686856,0.5482498014686856,91134,104210,13076,-0.10622963115910775,-0.16579493819610996,-0.05956530703700222,0.1931724635406098,0.08123972803350699
regime,F3,112073,0.2826639779429479,0.2826639779429479,91134,92607,1473,-0.10622963115910775,-0.11599114419832746,-0.00976151303921971,0.001496500908585996,0.0011051151299085737
regime,F3,112073,0.5421020227887181,0.5421020227887181,91134,105128,13994,-0.10622963115910775,-0.15410303061632327,-0.047873399457215526,0.24681324656244297,0.0948984053913301
sequence,F3,112073,0.32460092975114435,0.32460092975114435,91134,91916,782,-0.10622963115910775,-0.10453292186904412,0.0016967092900636305,-0.0014383114985500045,-0.00030791066255850263
sequence,F3,112073,0.47473521722448764,0.47473521722448764,91134,87004,-4130,-0.10622963115910775,-0.09412344338002063,0.012106187779087119,-0.00924709341360519,-0.003185728088972606
time,F3,112073,0.29474538916599,0.29474538916599,91134,91809,675,-0.10622963115910775,-0.12340543601465667,-0.017175804855548926,0.0053246351799832725,0.002065436801409526
time,F3,112073,0.5629812711357776,0.5629812711357776,91134,105241,14107,-0.10622963115910775,-0.19895448317045947,-0.09272485201135172,0.2617214072148313,0.10441419696203208
trend,F3,112073,0.31242136821535965,0.31242136821535965,91134,90232,-902,-0.10622963115910775,-0.1066109925662168,-0.00038136140710905153,-0.011011726370014574,-0.0037256272811572733
trend,F3,112073,0.5533714632427079,0.5533714632427079,91134,104640,13506,-0.10622963115910775,-0.15949548893655044,-0.05326585777744269,0.20741980835358276,0.08655090016691425
volatility,F3,112073,0.3340947418200637,0.3340947418200637,91134,90426,-708,-0.10622963115910775,-0.10364172294829255,0.0025879082108151985,-0.0035394722859531935,-0.0009534725713326031
volatility,F3,112073,0.5539246740963479,0.5539246740963479,91134,104843,13709,-0.10622963115910775,-0.1738718001700233,-0.06764216901091555,0.2139884563901433,0.09088134523130653
volume_taker_flow,F3,112073,0.29474538916599,0.29474538916599,91134,91319,185,-0.10622963115910775,-0.0922792053331602,0.013950425825947549,-0.0020523044483841124,-0.0011700626037046413
volume_taker_flow,F3,112073,0.5714132752759362,0.5714132752759362,91134,104706,13572,-0.10622963115910775,-0.1754421360090243,-0.06921250484991656,0.20653377933512973,0.08874850458854067
cross_asset_breadth,F4,114210,0.33560108571928904,0.33560108571928904,84748,85199,451,-0.04947269584884994,-0.0810183649930811,-0.03154566914423116,0.009946419527365524,0.004009990950438608
cross_asset_breadth,F4,114210,0.6431223185360301,0.6431223185360301,84748,104337,19589,-0.04947269584884994,-0.1503774312615425,-0.10090473541269254,0.23779616304643492,0.09746121254423357
polymarket_state,F4,114210,0.3246388232203835,0.3246388232203835,84748,84835,87,-0.04947269584884994,-0.08884508309909511,-0.039372387250245174,0.0034314789636554766,0.0011810782673773168
polymarket_state,F4,114210,0.6398301374660713,0.6398301374660713,84748,62157,-22591,-0.04947269584884994,-0.04905068605321668,0.00042200979563326163,-0.011874976931417813,-0.006349274346406308
price_returns,F4,114210,0.3416075650118203,0.3416075650118203,84748,85017,269,-0.04947269584884994,-0.06901117646841769,-0.019538480619567748,0.012215548282858313,0.004900683240338072
price_returns,F4,114210,0.5765081866736713,0.5765081866736713,84748,104239,19491,-0.04947269584884994,-0.16281373005880406,-0.11334103420995412,0.22299095856725637,0.09239284729039454
regime,F4,114210,0.31801068207687594,0.31801068207687594,84748,85845,1097,-0.04947269584884994,-0.08313823094968335,-0.033665535100833414,0.007118900570572961,0.002660911706005853
regime,F4,114210,0.5957184134489099,0.5957184134489099,84748,102223,17475,-0.04947269584884994,-0.18003352875839002,-0.13056083290954007,0.24267350553428346,0.09552692670894619
sequence,F4,114210,0.393888451098853,0.393888451098853,84748,82701,-2047,-0.04947269584884994,-0.07904915128801362,-0.029576455439163686,0.006117597191446222,0.0021740967875163997
sequence,F4,114210,0.44401541020926366,0.44401541020926366,84748,84800,52,-0.04947269584884994,-0.06596726278427559,-0.01649456693542565,0.0224067069721563,0.008247179879695532
