group,n_days,dayblock_improvement_ll,ci_low,ci_high,effect_folds_positive,robustly_helps,stable_direction
regime,29,0.013400951618670593,-0.010713369323542537,0.04861160286322111,3,False,True
cross_asset_breadth,29,0.013379587375301292,0.0007005020556952262,0.03362155246021927,4,True,True
price_returns,29,0.009473600184686438,-0.0004980902007913966,0.022689244150111792,4,False,True
MINIMAL_VS_ALL,29,0.009119515974898896,-0.014595125697763797,0.04060580878401044,2,False,False
trend,29,0.007455731203111714,-0.0018397342618636041,0.021897315355075088,4,False,True
time,29,0.007421154678244759,-0.001238588016989671,0.022124430416850957,2,False,True
volatility,29,0.007352176691054637,-0.001068245696650558,0.01856847066921476,3,False,True
volume_taker_flow,29,0.006414440689710533,9.206076216156349e-05,0.015790452185796375,3,True,True
polymarket_state,29,0.004569975155172868,-0.0024350321352528516,0.014097803683349017,3,False,True
sequence,29,0.003697325755721448,-0.0028114480498155014,0.011741549171197074,3,False,True
