fold,feature,n_rows,n_missing,r_missing_target
F2,alternation_rate_6,239094,0,0.0
F2,bb_position,239094,0,0.0
F2,bb_width,239094,0,0.0
F2,body_to_range,239094,0,0.0
F2,consec_balance,239094,0,0.0
F2,consec_down,239094,0,0.0
F2,consec_up,239094,0,0.0
F2,consecutive_down,239094,0,0.0
F2,consecutive_up,239094,0,0.0
F2,cvd_1,239094,0,0.0
F2,cvd_6,239094,0,0.0
F2,cvd_trend,239094,0,0.0
F2,day_of_week,239094,0,0.0
F2,dev_sq_x_phase,239094,0,0.0
F2,deviation_x_time,239094,0,0.0
F2,direction_lag_1,239094,0,0.0
F2,direction_lag_2,239094,0,0.0
F2,direction_lag_3,239094,0,0.0
F2,dist_to_high_24,239094,0,0.0
F2,dist_to_high_96,239094,0,0.0
F2,dist_to_low_24,239094,0,0.0
F2,dist_to_low_96,239094,0,0.0
F2,dow,239094,0,0.0
F2,dow_cos,239094,0,0.0
F2,dow_sin,239094,0,0.0
F2,ema_ratio_9_21,239094,0,0.0
F2,funding_extreme,239094,239094,0.0
F2,funding_rate,239094,239094,0.0
F2,funding_rate_ma3,239094,239094,0.0
F2,high_price_final,239094,0,0.0
F2,hour_cos,239094,0,0.0
F2,hour_of_day,239094,0,0.0
F2,hour_sin,239094,0,0.0
F2,hour_utc,239094,0,0.0
F2,is_final_phase,239094,0,0.0
F2,log_moneyness,239094,239094,0.0
F2,log_time_left,239094,0,0.0
F2,mid_price,239094,0,0.0
F2,pm_best_ask,239094,0,0.0
F2,pm_best_bid,239094,0,0.0
F2,pm_momentum_5m,239094,0,0.0
F2,pm_quote_pressure,239094,0,0.0
F2,pm_spread_pct,239094,0,0.0
F2,pm_volume_5m,239094,0,0.0
F2,price_deviation,239094,0,0.0
F2,price_deviation_sq,239094,0,0.0
F2,price_distance_from_max,239094,0,0.0
F2,price_momentum,239094,668,-0.028237636705994017
F2,price_velocity,239094,0,0.0
F2,price_velocity_lag1,239094,0,0.0
F2,range_1,239094,0,0.0
F2,range_avg_24,239094,0,0.0
F2,ret_1,239094,0,0.0
F2,ret_12,239094,0,0.0
F2,ret_24,239094,0,0.0
F2,ret_3,239094,0,0.0
F2,ret_48,239094,0,0.0
F2,ret_6,239094,0,0.0
F2,rsi_14,239094,0,0.0
F2,signed_body_pct,239094,0,0.0
F2,signed_trend_efficiency_6,239094,0,0.0
F2,spread,239094,0,0.0
F2,spread_pct,239094,0,0.0
F2,spread_trend,239094,1354,-0.0377516830043297
F2,strike_gap_pct,239094,239094,0.0
F2,taker_buy_ratio,239094,0,0.0
F2,time_left_min,239094,0,0.0
F2,time_phase,239094,0,0.0
F2,up_ratio_4,239094,0,0.0
F2,velocity_x_phase,239094,0,0.0
F2,vol_24,239094,0,0.0
F2,vol_48,239094,0,0.0
F2,vol_6,239094,0,0.0
F2,vol_ratio,239094,0,0.0
F2,vol_trend,239094,0,0.0
F2,vol_z_1,239094,0,0.0
F2,vol_z_6,239094,0,0.0
F2,volume_5min,239094,0,0.0
F2,volume_trend,239094,668,-0.028237636705994017
F3,alternation_rate_6,112073,0,0.0
F3,bb_position,112073,0,0.0
F3,bb_width,112073,0,0.0
F3,body_to_range,112073,0,0.0
F3,consec_balance,112073,0,0.0
F3,consec_down,112073,0,0.0
F3,consec_up,112073,0,0.0
F3,consecutive_down,112073,0,0.0
F3,consecutive_up,112073,0,0.0
F3,cvd_1,112073,0,0.0
F3,cvd_6,112073,0,0.0
F3,cvd_trend,112073,0,0.0
F3,day_of_week,112073,0,0.0
F3,dev_sq_x_phase,112073,0,0.0
F3,deviation_x_time,112073,0,0.0
F3,direction_lag_1,112073,0,0.0
F3,direction_lag_2,112073,0,0.0
F3,direction_lag_3,112073,0,0.0
F3,dist_to_high_24,112073,0,0.0
F3,dist_to_high_96,112073,0,0.0
