feature,n_models,n_fold_units,split_sum,gain_sum,model_uses,used_in_eval_models
mid_price,,,,,20,0
spread,,,,,20,0
time_left_min,,,,,20,0
ret_1,8.0,22.0,60.0,377.28109979629517,15,1
ret_3,8.0,22.0,43.0,371.90414333343506,15,1
range_1,8.0,22.0,54.0,346.89299845695496,15,1
dist_to_low_24,8.0,22.0,44.0,303.6938169002533,15,1
vol_z_1,8.0,22.0,44.0,279.2691888809204,15,1
taker_buy_ratio,8.0,22.0,37.0,271.8062598705292,15,1
ema_ratio_9_21,8.0,22.0,40.0,267.48915135860443,15,1
range_avg_24,8.0,22.0,35.0,244.8514211177826,15,1
vol_24,8.0,22.0,32.0,235.3256013393402,15,1
rsi_14,8.0,22.0,35.0,213.6830792427063,15,1
cvd_6,8.0,22.0,33.0,212.2871811389923,15,1
ret_6,8.0,22.0,32.0,208.90306997299194,15,1
hour_sin,8.0,22.0,34.0,206.270929813385,15,1
dist_to_high_24,8.0,22.0,33.0,206.17594051361084,15,1
bb_position,8.0,22.0,32.0,194.85619926452637,15,1
bb_width,8.0,22.0,29.0,181.37050092220306,15,1
hour_cos,8.0,22.0,26.0,172.90117073059082,15,1
vol_6,8.0,22.0,24.0,150.43010997772217,15,1
dow_sin,8.0,22.0,26.0,144.65063047409058,15,1
dow_cos,8.0,22.0,11.0,66.39908027648926,15,1
consec_balance,8.0,22.0,11.0,57.31938052177429,15,1
cvd_1,8.0,22.0,6.0,35.82399010658264,15,1
hour_of_day,,,,,14,0
log_time_left,,,,,14,0
price_deviation,,,,,14,0
price_velocity,,,,,14,0
spread_pct,,,,,14,0
day_of_week,,,,,13,0
high_price_final,,,,,13,0
is_final_phase,,,,,13,0
price_distance_from_max,,,,,13,0
price_momentum,,,,,13,0
spread_trend,,,,,13,0
volume_5min,,,,,13,0
volume_trend,,,,,13,0
log_moneyness,8.0,22.0,0.0,0.0,12,1
strike_gap_pct,8.0,22.0,0.0,0.0,12,1
alternation_rate_6,,,,,9,0
consecutive_down,,,,,9,0
consecutive_up,,,,,9,0
direction_lag_1,,,,,9,0
direction_lag_2,,,,,9,0
direction_lag_3,,,,,9,0
up_ratio_4,,,,,9,0
body_to_range,,,,,6,0
signed_body_pct,,,,,6,0
signed_trend_efficiency_6,,,,,6,0
deviation_x_time,,,,,3,0
price_deviation_sq,,,,,3,0
dev_sq_x_phase,,,,,2,0
price_velocity_lag1,,,,,2,0
time_phase,,,,,2,0
velocity_x_phase,,,,,2,0
consec_down,,,,,0,0
consec_up,,,,,0,0
cvd_trend,,,,,0,0
dist_to_high_96,,,,,0,0
dist_to_low_96,,,,,0,0
dow,,,,,0,0
funding_extreme,,,,,0,0
funding_rate,,,,,0,0
funding_rate_ma3,,,,,0,0
hour_utc,,,,,0,0
pm_best_ask,,,,,0,0
pm_best_bid,,,,,0,0
pm_momentum_5m,,,,,0,0
pm_quote_pressure,,,,,0,0
pm_spread_pct,,,,,0,0
pm_volume_5m,,,,,0,0
ret_12,,,,,0,0
ret_24,,,,,0,0
ret_48,,,,,0,0
vol_48,,,,,0,0
vol_ratio,,,,,0,0
vol_trend,,,,,0,0
vol_z_6,,,,,0,0
