feature,n_units,n_rows,delta_logloss,delta_brier,share_positive
vol_z_1,22.0,34142.0,0.000646928574506975,6.379627945477414e-05,0.36363636363636365
cvd_6,22.0,34142.0,0.0003582378335473026,3.99045707024563e-05,0.3181818181818182
vol_6,22.0,34142.0,0.0002926278592880546,3.6960138223312074e-05,0.3181818181818182
range_1,22.0,34142.0,0.0002708456800168914,2.024412474129877e-05,0.45454545454545453
ret_1,22.0,34142.0,0.00023512260886954383,5.6603972385261944e-05,0.4090909090909091
dist_to_low_24,22.0,34142.0,0.00022878665041113326,4.34936187550082e-05,0.45454545454545453
hour_sin,22.0,34142.0,0.00017513343308395445,1.245140524656482e-05,0.36363636363636365
ret_6,22.0,34142.0,0.0001747896357634008,3.966603134126434e-05,0.2727272727272727
bb_position,22.0,34142.0,8.781887850190571e-05,3.97559309730822e-05,0.4090909090909091
ret_3,22.0,34142.0,8.224380786290758e-05,2.354507207924308e-05,0.2727272727272727
range_avg_24,22.0,34142.0,4.320522933196064e-05,3.363642343249841e-05,0.22727272727272727
ema_ratio_9_21,22.0,34142.0,2.6003750001431787e-05,1.3179287553977839e-05,0.2727272727272727
consec_balance,22.0,34142.0,2.520012141997368e-05,1.1444779836182543e-05,0.18181818181818182
taker_buy_ratio,22.0,34142.0,1.622676016397389e-05,7.988158705351533e-06,0.4090909090909091
hour_cos,22.0,34142.0,1.0068174364157631e-05,4.092813688719715e-06,0.36363636363636365
dow_sin,22.0,34142.0,5.999027131500834e-06,2.9509309848331994e-06,0.18181818181818182
dow_cos,22.0,34142.0,-3.1745476670488574e-07,-1.5823525869412915e-07,0.0
bb_width,22.0,34142.0,-2.411723114718456e-05,-9.863603489252696e-06,0.09090909090909091
dist_to_high_24,22.0,34142.0,-3.440861305332524e-05,-1.654547410691905e-05,0.13636363636363635
rsi_14,22.0,34142.0,-7.739578770900744e-05,-9.583876884639563e-06,0.2727272727272727
vol_24,22.0,34142.0,-0.00032010711572193895,-3.9832137788724936e-05,0.22727272727272727
cvd_1,22.0,34142.0,-0.0006112850688560837,-6.365905671369129e-05,0.13636363636363635
