feature,fold,model_id,asset,version,n,delta_logloss,delta_brier
ret_1,F4,804,BTCUSDT_low_vol,37,1769,-0.00010119106778050391,-4.918921744343866e-05
ret_3,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
ret_6,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
vol_6,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
vol_24,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
vol_z_1,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
taker_buy_ratio,F4,804,BTCUSDT_low_vol,37,1769,7.20577825090718e-05,3.503582263009175e-05
cvd_1,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
cvd_6,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
rsi_14,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
ema_ratio_9_21,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
bb_width,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
bb_position,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
dist_to_high_24,F4,804,BTCUSDT_low_vol,37,1769,-0.00038054704663526007,-0.00018490528627875444
dist_to_low_24,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
range_1,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
range_avg_24,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
consec_balance,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
hour_sin,F4,804,BTCUSDT_low_vol,37,1769,-0.0001871262436181261,-9.092289067391679e-05
hour_cos,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
dow_sin,F4,804,BTCUSDT_low_vol,37,1769,1.4010892290805543e-05,6.813492397598579e-06
dow_cos,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
strike_gap_pct,F4,804,BTCUSDT_low_vol,37,1769,,
log_moneyness,F4,804,BTCUSDT_low_vol,37,1769,,
ret_1,F5,804,BTCUSDT_low_vol,37,2000,-0.00018880250682706823,-9.178994555210836e-05
ret_3,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
ret_6,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
vol_6,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
vol_24,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
vol_z_1,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
taker_buy_ratio,F5,804,BTCUSDT_low_vol,37,2000,7.617167504007465e-05,3.7062206681629885e-05
cvd_1,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
cvd_6,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
rsi_14,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
ema_ratio_9_21,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
bb_width,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
bb_position,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
dist_to_high_24,F5,804,BTCUSDT_low_vol,37,2000,-0.00016770626824746948,-8.15172682848327e-05
dist_to_low_24,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
range_1,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
range_avg_24,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
consec_balance,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
hour_sin,F5,804,BTCUSDT_low_vol,37,2000,-2.765619466105207e-05,-1.3437880351759487e-05
hour_cos,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
dow_sin,F5,804,BTCUSDT_low_vol,37,2000,4.1719151827971736e-05,2.0288021781500465e-05
dow_cos,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
strike_gap_pct,F5,804,BTCUSDT_low_vol,37,2000,,
log_moneyness,F5,804,BTCUSDT_low_vol,37,2000,,
ret_1,F6,804,BTCUSDT_low_vol,37,986,8.740326483380745e-05,4.2487582934754485e-05
ret_3,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
ret_6,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
vol_6,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
vol_24,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
vol_z_1,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
taker_buy_ratio,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
cvd_1,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
cvd_6,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
rsi_14,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
ema_ratio_9_21,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
bb_width,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
bb_position,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
dist_to_high_24,F6,804,BTCUSDT_low_vol,37,986,9.863064577634677e-05,4.7937008762470125e-05
dist_to_low_24,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
range_1,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
range_avg_24,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
consec_balance,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
hour_sin,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
hour_cos,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
dow_sin,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
dow_cos,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
strike_gap_pct,F6,804,BTCUSDT_low_vol,37,986,,
log_moneyness,F6,804,BTCUSDT_low_vol,37,986,,
ret_1,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
ret_3,F4,805,BTCUSDT_mid_vol,31,359,-0.001924616200959998,-0.00021324796823884995
ret_6,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
vol_6,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
vol_24,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
vol_z_1,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
taker_buy_ratio,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
cvd_1,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
cvd_6,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
rsi_14,F4,805,BTCUSDT_mid_vol,31,359,0.0005090661255496473,5.6521091811312374e-05
ema_ratio_9_21,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
bb_width,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
bb_position,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
dist_to_high_24,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
dist_to_low_24,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
range_1,F4,805,BTCUSDT_mid_vol,31,359,0.0017421465657917097,0.00019766197207031025
