feature,source,asset,n_rows,origin_le_decision,value_match_pct
ret_1,candle_rebuilt,BTC,10036,1.0,1.0
ret_3,candle_rebuilt,BTC,10036,1.0,1.0
ret_6,candle_rebuilt,BTC,10036,1.0,1.0
ret_12,candle_rebuilt,BTC,10036,1.0,1.0
ret_24,candle_rebuilt,BTC,10036,1.0,1.0
ret_48,candle_rebuilt,BTC,10036,1.0,1.0
vol_6,candle_rebuilt,BTC,10036,1.0,1.0
vol_24,candle_rebuilt,BTC,10036,1.0,1.0
vol_48,candle_rebuilt,BTC,10036,1.0,1.0
vol_trend,candle_rebuilt,BTC,10036,1.0,1.0
vol_ratio,candle_rebuilt,BTC,10036,1.0,1.0
vol_z_1,candle_rebuilt,BTC,10036,1.0,1.0
vol_z_6,candle_rebuilt,BTC,10036,1.0,1.0
cvd_1,candle_rebuilt,BTC,10036,1.0,1.0
cvd_6,candle_rebuilt,BTC,10036,1.0,1.0
cvd_trend,candle_rebuilt,BTC,10036,1.0,1.0
taker_buy_ratio,candle_rebuilt,BTC,10036,1.0,1.0
rsi_14,candle_rebuilt,BTC,10036,1.0,1.0
ema_ratio_9_21,candle_rebuilt,BTC,10036,1.0,1.0
bb_width,candle_rebuilt,BTC,10036,1.0,1.0
bb_position,candle_rebuilt,BTC,10036,1.0,1.0
dist_to_high_24,candle_rebuilt,BTC,10036,1.0,1.0
dist_to_low_24,candle_rebuilt,BTC,10036,1.0,1.0
dist_to_high_96,candle_rebuilt,BTC,10036,1.0,1.0
dist_to_low_96,candle_rebuilt,BTC,10036,1.0,1.0
range_1,candle_rebuilt,BTC,10036,1.0,1.0
range_avg_24,candle_rebuilt,BTC,10036,1.0,1.0
consec_balance,candle_rebuilt,BTC,10036,1.0,1.0
consec_up,candle_rebuilt,BTC,10036,1.0,1.0
consec_down,candle_rebuilt,BTC,10036,1.0,1.0
direction_lag_1,candle_rebuilt,BTC,10036,1.0,1.0
direction_lag_2,candle_rebuilt,BTC,10036,1.0,1.0
direction_lag_3,candle_rebuilt,BTC,10036,1.0,1.0
consecutive_up,candle_rebuilt,BTC,10036,1.0,1.0
consecutive_down,candle_rebuilt,BTC,10036,1.0,1.0
up_ratio_4,candle_rebuilt,BTC,10036,1.0,1.0
alternation_rate_6,candle_rebuilt,BTC,10036,1.0,1.0
signed_trend_efficiency_6,candle_rebuilt,BTC,10036,1.0,1.0
signed_body_pct,candle_rebuilt,BTC,10036,1.0,1.0
body_to_range,candle_rebuilt,BTC,10036,1.0,1.0
hour_sin,candle_rebuilt,BTC,10036,1.0,1.0
hour_cos,candle_rebuilt,BTC,10036,1.0,1.0
dow_sin,candle_rebuilt,BTC,10036,1.0,1.0
dow_cos,candle_rebuilt,BTC,10036,1.0,1.0
ret_1,candle_rebuilt,ETH,11936,1.0,1.0
ret_3,candle_rebuilt,ETH,11936,1.0,1.0
ret_6,candle_rebuilt,ETH,11936,1.0,1.0
ret_12,candle_rebuilt,ETH,11936,1.0,1.0
ret_24,candle_rebuilt,ETH,11936,1.0,1.0
ret_48,candle_rebuilt,ETH,11936,1.0,1.0
vol_6,candle_rebuilt,ETH,11936,1.0,1.0
vol_24,candle_rebuilt,ETH,11936,1.0,1.0
vol_48,candle_rebuilt,ETH,11936,1.0,1.0
vol_trend,candle_rebuilt,ETH,11936,1.0,1.0
vol_ratio,candle_rebuilt,ETH,11936,1.0,1.0
vol_z_1,candle_rebuilt,ETH,11936,1.0,1.0
vol_z_6,candle_rebuilt,ETH,11936,1.0,1.0
cvd_1,candle_rebuilt,ETH,11936,1.0,1.0
cvd_6,candle_rebuilt,ETH,11936,1.0,1.0
cvd_trend,candle_rebuilt,ETH,11936,1.0,1.0
taker_buy_ratio,candle_rebuilt,ETH,11936,1.0,1.0
rsi_14,candle_rebuilt,ETH,11936,1.0,1.0
ema_ratio_9_21,candle_rebuilt,ETH,11936,1.0,1.0
bb_width,candle_rebuilt,ETH,11936,1.0,1.0
bb_position,candle_rebuilt,ETH,11936,1.0,1.0
dist_to_high_24,candle_rebuilt,ETH,11936,1.0,1.0
dist_to_low_24,candle_rebuilt,ETH,11936,1.0,1.0
dist_to_high_96,candle_rebuilt,ETH,11936,1.0,1.0
dist_to_low_96,candle_rebuilt,ETH,11936,1.0,1.0
range_1,candle_rebuilt,ETH,11936,1.0,1.0
range_avg_24,candle_rebuilt,ETH,11936,1.0,1.0
consec_balance,candle_rebuilt,ETH,11936,1.0,1.0
