feature,fold,model_id,asset,version,n,mean_shap,abs_shap
ret_1,F4,804,BTCUSDT_low_vol,37,1769,0.0074171066702847285,0.0074171066702847285
ret_3,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
ret_6,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
vol_6,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
vol_24,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
vol_z_1,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
taker_buy_ratio,F4,804,BTCUSDT_low_vol,37,1769,-0.0011323891724622406,0.0011323891724622406
cvd_1,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
cvd_6,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
rsi_14,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
ema_ratio_9_21,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
bb_width,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
bb_position,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
dist_to_high_24,F4,804,BTCUSDT_low_vol,37,1769,0.010520701111108362,0.010520701111108362
dist_to_low_24,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
range_1,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
range_avg_24,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
consec_balance,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
hour_sin,F4,804,BTCUSDT_low_vol,37,1769,0.004092560324313421,0.004092560324313421
hour_cos,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
dow_sin,F4,804,BTCUSDT_low_vol,37,1769,0.0018290702513736616,0.0018290702513736616
dow_cos,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
strike_gap_pct,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
log_moneyness,F4,804,BTCUSDT_low_vol,37,1769,0.0,0.0
ret_1,F5,804,BTCUSDT_low_vol,37,2000,0.0018889587937622925,0.0018889587937622925
ret_3,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
ret_6,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
vol_6,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
vol_24,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
vol_z_1,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
taker_buy_ratio,F5,804,BTCUSDT_low_vol,37,2000,0.0005975327202417448,0.0005975327202417448
cvd_1,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
cvd_6,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
rsi_14,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
ema_ratio_9_21,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
bb_width,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
bb_position,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
dist_to_high_24,F5,804,BTCUSDT_low_vol,37,2000,0.013797108940187035,0.013797108940187035
dist_to_low_24,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
range_1,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
range_avg_24,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
consec_balance,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
hour_sin,F5,804,BTCUSDT_low_vol,37,2000,0.004661641501998988,0.004661641501998988
hour_cos,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
dow_sin,F5,804,BTCUSDT_low_vol,37,2000,0.00517676672049161,0.00517676672049161
dow_cos,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
strike_gap_pct,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
log_moneyness,F5,804,BTCUSDT_low_vol,37,2000,0.0,0.0
ret_1,F6,804,BTCUSDT_low_vol,37,986,-0.00034142494658385796,0.00034142494658385796
ret_3,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
ret_6,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
vol_6,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
vol_24,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
vol_z_1,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
taker_buy_ratio,F6,804,BTCUSDT_low_vol,37,986,0.0018679870559070958,0.0018679870559070958
cvd_1,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
cvd_6,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
rsi_14,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
ema_ratio_9_21,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
bb_width,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
bb_position,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
dist_to_high_24,F6,804,BTCUSDT_low_vol,37,986,0.01680370116555072,0.01680370116555072
dist_to_low_24,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
range_1,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
range_avg_24,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
consec_balance,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
hour_sin,F6,804,BTCUSDT_low_vol,37,986,0.005728065979578672,0.005728065979578672
hour_cos,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
dow_sin,F6,804,BTCUSDT_low_vol,37,986,-0.002072708259198246,0.002072708259198246
dow_cos,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
strike_gap_pct,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
log_moneyness,F6,804,BTCUSDT_low_vol,37,986,0.0,0.0
ret_1,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
ret_3,F4,805,BTCUSDT_mid_vol,31,359,-0.009902430118121159,0.009902430118121159
ret_6,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
vol_6,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
vol_24,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
vol_z_1,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
taker_buy_ratio,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
cvd_1,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
cvd_6,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
rsi_14,F4,805,BTCUSDT_mid_vol,31,359,-0.009237159215992415,0.009237159215992415
ema_ratio_9_21,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
bb_width,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
bb_position,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
dist_to_high_24,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
dist_to_low_24,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
range_1,F4,805,BTCUSDT_mid_vol,31,359,-0.001917921177940147,0.001917921177940147
range_avg_24,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
consec_balance,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
hour_sin,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
hour_cos,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
dow_sin,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
