feature,n_units,n_rows,weighted_abs_shap,mean_shap,n_neg_units,n_pos_units,sign_stability,sign
range_1,22,34142,0.024747299924238658,0.01915560928055835,4,15,0.7894736842105263,+
range_avg_24,22,34142,0.01621581141372867,-0.0076173683406189525,7,9,0.5625,-
dist_to_low_24,22,34142,0.014471043241860824,-0.012846833815253035,16,0,1.0,-
ema_ratio_9_21,22,34142,0.007897115903277475,-0.0031481250039679222,8,2,0.8,-
ret_1,22,34142,0.007682233854214594,0.0040956481343157195,4,15,0.7894736842105263,+
ret_3,22,34142,0.007625948565562144,-0.006193134704860751,17,2,0.8947368421052632,-
rsi_14,22,34142,0.005992452230892182,0.002151724242101578,8,8,0.5,+
vol_24,22,34142,0.004967586285471477,-0.0035561152247890766,11,5,0.6875,-
bb_position,22,34142,0.0048516773023021,-0.00444425161821224,11,2,0.8461538461538461,-
ret_6,22,34142,0.004540255083135167,-0.003287741612959553,9,4,0.6923076923076923,-
dist_to_high_24,22,34142,0.0045297690435231125,0.0034205130796958684,3,13,0.8125,+
bb_width,22,34142,0.004508721508281625,0.002160395072917568,4,9,0.6923076923076923,+
vol_6,22,34142,0.0042058331992176805,-0.0016040948841464524,5,8,0.6153846153846154,-
dow_sin,22,34142,0.0031974382255386836,0.001030992687921282,5,8,0.6153846153846154,+
hour_sin,22,34142,0.002994840603110789,-0.0007521157250395535,10,9,0.5263157894736842,-
hour_cos,22,34142,0.0026567540959981815,0.0011177071886355036,6,7,0.5384615384615384,+
taker_buy_ratio,22,34142,0.0025692739672878023,-0.0001286465913775235,6,10,0.625,-
cvd_6,22,34142,0.002315233537687119,0.0014975411865951577,6,10,0.625,+
dow_cos,22,34142,0.0016780289774357413,0.0004869744937586386,5,6,0.5454545454545454,+
vol_z_1,22,34142,0.0010917527049873047,0.0007413122729689526,6,10,0.625,+
consec_balance,22,34142,0.0007610822843276987,0.0003861932647899287,3,5,0.625,+
cvd_1,22,34142,0.0007512043624572199,-0.00010642193234386648,5,4,0.5555555555555556,-
log_moneyness,22,34142,0.0,0.0,0,0,,
strike_gap_pct,22,34142,0.0,0.0,0,0,,
