feature,target_cohort,fold,n_train,n_val,auc,logloss,p_perm,p_holm
alternation_rate_6,native,F2,0,237629,,,,
bb_position,native,F2,0,237629,,,,
bb_width,native,F2,0,237629,,,,
body_to_range,native,F2,0,237629,,,,
consec_balance,native,F2,0,237629,,,,
consec_down,native,F2,0,237629,,,,
consec_up,native,F2,0,237629,,,,
consecutive_down,native,F2,0,237629,,,,
consecutive_up,native,F2,0,237629,,,,
cvd_1,native,F2,0,237629,,,,
cvd_6,native,F2,0,237629,,,,
cvd_trend,native,F2,0,237629,,,,
day_of_week,native,F2,0,237629,,,,
dev_sq_x_phase,native,F2,0,237629,,,,
deviation_x_time,native,F2,0,237629,,,,
direction_lag_1,native,F2,0,237629,,,,
direction_lag_2,native,F2,0,237629,,,,
direction_lag_3,native,F2,0,237629,,,,
dist_to_high_24,native,F2,0,237629,,,,
dist_to_high_96,native,F2,0,237629,,,,
dist_to_low_24,native,F2,0,237629,,,,
dist_to_low_96,native,F2,0,237629,,,,
dow,native,F2,0,237629,,,,
dow_cos,native,F2,0,237629,,,,
dow_sin,native,F2,0,237629,,,,
ema_ratio_9_21,native,F2,0,237629,,,,
funding_extreme,native,F2,0,0,,,,
funding_rate,native,F2,0,0,,,,
funding_rate_ma3,native,F2,0,0,,,,
high_price_final,native,F2,0,237629,,,,
hour_cos,native,F2,0,237629,,,,
hour_of_day,native,F2,0,237629,,,,
hour_sin,native,F2,0,237629,,,,
hour_utc,native,F2,0,237629,,,,
is_final_phase,native,F2,0,237629,,,,
log_moneyness,native,F2,0,0,,,,
log_time_left,native,F2,0,237629,,,,
mid_price,native,F2,0,237629,,,,
pm_best_ask,native,F2,0,237629,,,,
pm_best_bid,native,F2,0,237629,,,,
pm_momentum_5m,native,F2,0,237629,,,,
pm_quote_pressure,native,F2,0,237629,,,,
pm_spread_pct,native,F2,0,237629,,,,
pm_volume_5m,native,F2,0,237629,,,,
price_deviation,native,F2,0,237629,,,,
price_deviation_sq,native,F2,0,237629,,,,
price_distance_from_max,native,F2,0,237629,,,,
price_momentum,native,F2,0,236961,,,,
price_velocity,native,F2,0,237629,,,,
price_velocity_lag1,native,F2,0,237629,,,,
range_1,native,F2,0,237629,,,,
range_avg_24,native,F2,0,237629,,,,
ret_1,native,F2,0,237629,,,,
ret_12,native,F2,0,237629,,,,
ret_24,native,F2,0,237629,,,,
ret_3,native,F2,0,237629,,,,
ret_48,native,F2,0,237629,,,,
ret_6,native,F2,0,237629,,,,
rsi_14,native,F2,0,237629,,,,
signed_body_pct,native,F2,0,237629,,,,
signed_trend_efficiency_6,native,F2,0,237629,,,,
spread,native,F2,0,237629,,,,
spread_pct,native,F2,0,237629,,,,
spread_trend,native,F2,0,236275,,,,
strike_gap_pct,native,F2,0,0,,,,
taker_buy_ratio,native,F2,0,237629,,,,
time_left_min,native,F2,0,237629,,,,
time_phase,native,F2,0,237629,,,,
up_ratio_4,native,F2,0,237629,,,,
velocity_x_phase,native,F2,0,237629,,,,
vol_24,native,F2,0,237629,,,,
vol_48,native,F2,0,237629,,,,
vol_6,native,F2,0,237629,,,,
vol_ratio,native,F2,0,237629,,,,
vol_trend,native,F2,0,237629,,,,
vol_z_1,native,F2,0,237629,,,,
vol_z_6,native,F2,0,237629,,,,
volume_5min,native,F2,0,237629,,,,
volume_trend,native,F2,0,236961,,,,
alternation_rate_6,contract,F2,0,239094,,,,
bb_position,contract,F2,0,239094,,,,
bb_width,contract,F2,0,239094,,,,
body_to_range,contract,F2,0,239094,,,,
consec_balance,contract,F2,0,239094,,,,
consec_down,contract,F2,0,239094,,,,
consec_up,contract,F2,0,239094,,,,
consecutive_down,contract,F2,0,239094,,,,
consecutive_up,contract,F2,0,239094,,,,
cvd_1,contract,F2,0,239094,,,,
cvd_6,contract,F2,0,239094,,,,
cvd_trend,contract,F2,0,239094,,,,
day_of_week,contract,F2,0,239094,,,,
dev_sq_x_phase,contract,F2,0,239094,,,,
deviation_x_time,contract,F2,0,239094,,,,
direction_lag_1,contract,F2,0,239094,,,,
direction_lag_2,contract,F2,0,239094,,,,
direction_lag_3,contract,F2,0,239094,,,,
dist_to_high_24,contract,F2,0,239094,,,,
dist_to_high_96,contract,F2,0,239094,,,,
dist_to_low_24,contract,F2,0,239094,,,,
dist_to_low_96,contract,F2,0,239094,,,,
dow,contract,F2,0,239094,,,,
dow_cos,contract,F2,0,239094,,,,
dow_sin,contract,F2,0,239094,,,,
ema_ratio_9_21,contract,F2,0,239094,,,,
funding_extreme,contract,F2,0,0,,,,
